seqname	GC	AT	GC_skew	GC3	GC_avg_stretch	AT_avg_stretch
lcl|NC_072398.2_cds_XP_513837.5_3847	44.82	55.18	0.01102	43.78	3.56	4.12
lcl|NC_072398.2_cds_XP_009430673.2_3882	61.86	38.14	-0.06476	67.86	4.30	3.41
lcl|NC_072398.2_cds_XP_009430631.1_3908	53.14	46.86	0.00000	63.39	3.83	3.75
lcl|NC_072398.2_cds_XP_016783033.1_3913	60.36	39.64	0.03380	75.71	4.40	3.61
lcl|NC_072398.2_cds_XP_024204293.2_3995	55.22	44.78	0.00832	47.89	3.66	3.57
lcl|NC_072398.2_cds_XP_024204292.2_3998	60.05	39.95	0.27082	72.15	4.64	4.06
lcl|NC_072398.2_cds_XP_514428.5_3999	47.29	52.71	0.06542	38.56	3.44	3.83
lcl|NC_072398.2_cds_XP_513800.3_4065	58.80	41.2	0.16949	68.36	4.13	3.44
lcl|NC_072398.2_cds_XP_054526947.1_4067	51.17	48.83	-0.07387	51.38	3.66	3.75
lcl|NC_072398.2_cds_XP_016782408.1_4091	54.31	45.69	-0.01372	65.65	3.89	3.54
lcl|NC_072398.2_cds_XP_054526863.1_4116	61.03	38.97	-0.05356	64.56	4.18	3.58
lcl|NC_072398.2_cds_XP_063669780.1_4152	65.09	34.91	-0.09302	69.91	5.01	3.52
lcl|NC_072398.2_cds_XP_054526702.1_4238	50.94	49.06	0.02328	53.21	3.80	3.62
lcl|NC_072398.2_cds_XP_054526641.2_4248	52.47	47.53	-0.02794	52.31	3.97	3.81
lcl|NC_072398.2_cds_XP_009428981.2_4298	64.41	35.59	-0.08921	65.97	4.42	3.45
lcl|NC_072398.2_cds_XP_016781905.1_4312	50.78	49.22	-0.14145	47.54	3.74	3.88
lcl|NC_072398.2_cds_XP_016781667.1_4369	55.61	44.39	0.09659	59.36	3.87	3.53
lcl|NC_072398.2_cds_XP_514418.4_4494	54.71	45.29	0.02660	55.39	3.92	3.59
lcl|NC_072398.2_cds_XP_016796612.3_4495	59.27	40.73	0.12812	63.51	4.18	3.48
lcl|NC_072398.2_cds_XP_001158033.4_4561	47.64	52.36	0.11544	48.16	3.76	4.19
lcl|NC_072398.2_cds_XP_016779850.1_4568	56.46	43.54	-0.12040	53.89	4.03	3.74
lcl|NC_072398.2_cds_XP_024203535.1_4649	51.47	48.53	0.02932	55.39	3.67	3.63
lcl|NC_072398.2_cds_XP_024203620.2_4701	46.09	53.91	0.06393	41.43	3.95	4.18
lcl|NC_072398.2_cds_XP_016780735.2_4773	50.18	49.82	-0.10884	49.07	3.76	3.98
lcl|NC_072398.2_cds_XP_513668.3_4790	48.61	51.39	0.01641	43.97	4.47	3.96
lcl|NC_072398.2_cds_XP_009426979.3_4794	42.44	57.56	0.01520	40.11	3.46	4.14
lcl|NC_072398.2_cds_XP_003949558.1_4800	43.43	56.57	0.10263	38.34	3.48	4.05
lcl|NC_072398.2_cds_XP_054541994.1_4815	33.80	66.2	0.15560	28.84	3.38	4.51
lcl|NC_072398.2_cds_XP_016780478.1_4852	49.61	50.39	0.04068	55.66	3.82	3.71
lcl|NC_072398.2_cds_XP_001147491.3_4864	59.08	40.92	0.00558	76.09	3.90	3.42
lcl|NC_072398.2_cds_XP_009426693.2_4868	57.12	42.88	0.05040	69.55	4.11	3.88
lcl|NC_072398.2_cds_XP_016780407.4_4869	50.11	49.89	0.02502	56.51	3.57	3.76
lcl|NC_072398.2_cds_XP_009426670.1_4871	48.22	51.78	0.01335	48.03	3.61	3.63
lcl|NC_072398.2_cds_XP_524820.3_4895	44.07	55.93	0.13622	42.90	3.48	3.90
lcl|NC_072398.2_cds_XP_009426606.3_4901	42.15	57.85	0.02845	39.34	3.43	4.18
lcl|NC_072398.2_cds_XP_054524929.1_4937	53.76	46.24	-0.00176	55.34	3.76	3.58
lcl|NC_072398.2_cds_XP_063645664.1_4951	47.49	52.51	0.10000	50.04	3.63	4.13
lcl|NC_072398.2_cds_XP_054532493.1_4955	44.48	55.52	-0.01661	44.41	3.78	4.14
lcl|NC_072398.2_cds_XP_016781044.1_4970	57.40	42.6	-0.02603	70.22	4.19	3.52
lcl|NC_072398.2_cds_XP_063654635.1_5098	56.61	43.39	0.04877	54.19	4.36	3.65
lcl|NC_072398.2_cds_XP_524802.4_5110	55.01	44.99	0.02371	69.04	4.30	3.55
lcl|NC_072398.2_cds_XP_054524605.2_5136	50.46	49.54	0.07871	54.79	3.80	4.04
lcl|NC_072398.2_cds_XP_009425663.2_5142	60.72	39.28	-0.01185	79.77	4.33	3.61
lcl|NC_072398.2_cds_XP_063672134.1_5205	61.27	38.73	-0.04880	72.51	4.30	3.38
lcl|NC_072398.2_cds_XP_016812837.1_5209	53.35	46.65	-0.06346	63.71	3.77	3.64
lcl|NC_072398.2_cds_XP_513613.4_5221	42.21	57.79	0.06383	33.08	3.56	4.15
lcl|NC_072398.2_cds_XP_016779186.3_5260	43.61	56.39	-0.05753	40.26	3.64	4.34
lcl|NC_072398.2_cds_XP_016779088.2_5285	42.50	57.5	0.07789	42.24	3.65	4.29
lcl|NC_072398.2_cds_XP_001139974.1_5339	51.90	48.1	0.12571	28.70	3.91	4.01
lcl|NC_072398.2_cds_XP_016778630.1_5440	40.01	59.99	0.08478	31.05	3.41	4.35
lcl|NC_072398.2_cds_XP_513583.3_5463	44.74	55.26	0.06318	38.79	3.60	4.05
lcl|NC_072398.2_cds_XP_009423965.2_5516	39.99	60.01	0.01057	33.04	3.30	4.40
lcl|NC_072398.2_cds_XP_054523991.1_5521	52.59	47.41	-0.03010	63.81	3.80	3.89
lcl|NC_072398.2_cds_XP_063672720.1_5554	35.96	64.04	0.15448	30.25	3.27	4.43
lcl|NC_072398.2_cds_XP_063655653.1_5588	41.69	58.31	0.08459	38.53	3.45	4.02
lcl|NC_072398.2_cds_XP_009423597.2_5629	39.05	60.95	0.07034	30.40	3.42	4.38
lcl|NC_072398.2_cds_XP_016781385.1_5645	37.45	62.55	0.03099	31.96	3.35	4.38
lcl|NC_072398.2_cds_XP_513555.4_5658	49.67	50.33	-0.02124	54.04	3.69	3.98
lcl|NC_072398.2_cds_XP_524618.5_5677	35.19	64.81	0.10554	26.46	3.25	4.49
lcl|NC_072398.2_cds_XP_016777753.1_5687	38.37	61.63	0.04061	30.09	3.40	4.36
lcl|NC_072398.2_cds_XP_001150794.2_5707	42.37	57.63	-0.04762	47.50	3.42	4.20
lcl|NC_072398.2_cds_XP_001145367.1_5761	39.66	60.34	0.10410	29.24	3.60	4.42
lcl|NC_072398.2_cds_XP_016777347.3_5788	41.77	58.23	-0.01368	32.36	3.62	4.26
lcl|NC_072398.2_cds_XP_009422890.4_5789	45.28	54.72	0.00241	42.51	3.60	4.01
lcl|NC_072398.2_cds_XP_001143172.3_5790	42.37	57.63	-0.01167	37.61	3.53	4.39
lcl|NC_072398.2_cds_XP_016777264.1_5822	47.60	52.4	0.13189	27.46	3.69	4.16
lcl|NC_072398.2_cds_XP_016777200.1_5842	49.36	50.64	0.05820	46.72	4.62	4.42
lcl|NC_072398.2_cds_XP_009422685.4_5847	40.13	59.87	-0.00094	38.06	3.49	4.45
lcl|NC_072398.2_cds_XP_513518.2_5925	40.95	59.05	0.05775	38.96	3.48	4.25
lcl|NC_072398.2_cds_XP_024203597.1_5947	43.28	56.72	-0.00992	41.22	3.53	4.28
lcl|NC_072398.2_cds_XP_003308213.1_6030	38.88	61.12	0.07818	29.69	3.44	4.41
lcl|NC_072398.2_cds_XP_016776522.1_6044	41.08	58.92	0.07361	30.97	3.27	4.27
lcl|NC_072398.2_cds_XP_054540395.1_6070	37.99	62.01	-0.03274	30.49	3.88	4.60
lcl|NC_072398.2_cds_XP_513496.3_6103	47.53	52.47	0.23133	41.48	3.56	4.07
lcl|NC_072398.2_cds_NP_001191726.2_6105	43.54	56.46	0.01832	38.88	3.47	4.26
lcl|NC_072398.2_cds_XP_009421797.1_6112	41.67	58.33	-0.06863	38.49	3.51	4.43
lcl|NC_072398.2_cds_XP_063656501.1_6154	44.65	55.35	-0.00486	41.57	3.63	4.00
lcl|NC_072398.2_cds_XP_001163965.1_6195	47.59	52.41	-0.04870	48.78	3.46	4.20
lcl|NC_072398.2_cds_XP_003308226.1_6258	40.33	59.67	0.07018	31.84	3.53	4.31
lcl|NC_072398.2_cds_XP_063656888.1_6295	48.19	51.81	-0.11812	40.58	4.01	4.19
lcl|NC_072398.2_cds_XP_016775598.1_6308	38.51	61.49	0.01856	36.19	3.37	4.45
lcl|NC_072398.2_cds_XP_001161657.1_6321	50.05	49.95	-0.03429	48.61	3.84	3.82
lcl|NC_072398.2_cds_XP_016775408.1_6331	47.88	52.12	0.04400	59.65	3.68	4.19
lcl|NC_072398.2_cds_XP_003308221.3_6341	49.62	50.38	-0.04215	55.37	3.96	3.90
lcl|NC_072398.2_cds_XP_016775314.1_6352	49.40	50.6	-0.10216	51.60	3.84	3.96
lcl|NC_072398.2_cds_XP_009457446.2_6387	41.70	58.3	0.02013	35.31	3.44	4.20
lcl|NC_072398.2_cds_XP_003949478.3_6410	57.86	42.14	-0.01677	64.16	3.86	3.59
lcl|NC_072398.2_cds_XP_016775181.3_6416	38.07	61.93	0.24899	34.57	3.37	4.46
lcl|NC_072398.2_cds_XP_016775122.3_6425	45.39	54.61	0.09482	38.73	3.61	4.24
lcl|NC_072398.2_cds_XP_016774945.1_6499	39.30	60.7	0.13892	33.80	3.65	4.58
lcl|NC_072398.2_cds_XP_016774697.1_6552	44.21	55.79	0.06187	42.44	3.89	4.10
lcl|NC_072398.2_cds_XP_054539031.1_6557	65.46	34.54	-0.01134	75.73	4.36	3.34
lcl|NC_072398.2_cds_XP_016774515.2_6593	57.35	42.65	-0.04039	73.19	3.87	3.70
lcl|NC_072398.2_cds_XP_016774059.1_6706	59.38	40.62	-0.02567	70.33	4.32	3.59
lcl|NC_072398.2_cds_XP_016773863.1_6775	40.67	59.33	0.04545	34.45	3.46	4.41
lcl|NC_072398.2_cds_XP_054523049.1_6827	50.43	49.57	-0.03151	53.02	3.65	3.66
lcl|NC_072398.2_cds_XP_016773797.1_6832	59.28	40.72	0.04238	65.35	4.08	3.42
lcl|NC_072398.2_cds_XP_016773740.1_6840	43.74	56.26	0.06895	39.34	3.41	4.11
lcl|NC_072398.2_cds_XP_054522816.1_6852	43.48	56.52	0.09174	42.99	3.60	4.13
lcl|NC_072398.2_cds_XP_009455942.1_6887	43.25	56.75	0.04214	36.38	3.44	4.00
lcl|NC_072398.2_cds_XP_054538824.1_7011	41.58	58.42	-0.04602	34.76	3.50	4.28
lcl|NC_072398.2_cds_XP_016817497.2_7157	57.51	42.49	-0.05266	61.25	4.09	3.76
lcl|NC_072398.2_cds_XP_513126.5_7284	58.01	41.99	-0.04631	62.46	4.76	3.70
lcl|NC_072398.2_cds_XP_016817054.3_7291	59.75	40.25	0.05450	72.01	4.29	3.43
lcl|NC_072398.2_cds_XP_016816991.1_7299	61.85	38.15	-0.07962	72.48	4.17	3.35
lcl|NC_072398.2_cds_XP_016816441.1_7428	56.60	43.4	-0.02382	70.75	3.83	3.44
lcl|NC_072398.2_cds_XP_016816390.2_7453	50.23	49.77	0.07539	54.27	3.81	3.66
lcl|NC_072398.2_cds_XP_016816286.1_7476	60.80	39.2	-0.02079	76.83	4.24	3.37
lcl|NC_072398.2_cds_XP_054522071.1_7493	58.47	41.53	-0.04917	63.13	4.06	3.48
lcl|NC_072398.2_cds_XP_001173341.1_7505	61.87	38.13	0.00568	73.49	4.52	3.48
lcl|NC_072398.2_cds_XP_016816074.1_7518	47.96	52.04	0.05778	57.71	3.59	3.93
lcl|NC_072398.2_cds_XP_054538020.1_7564	39.58	60.42	0.13363	37.91	3.48	4.39
lcl|NC_072398.2_cds_XP_054521908.1_7595	59.61	40.39	-0.13921	64.51	4.07	3.61
lcl|NC_072398.2_cds_XP_524678.1_7793	39.88	60.12	0.04234	33.79	3.65	4.33
lcl|NC_072398.2_cds_XP_063638344.1_7876	46.64	53.36	0.08222	47.50	3.56	3.95
lcl|NC_072398.2_cds_XP_016814992.4_7897	50.67	49.33	0.08537	59.05	3.92	3.87
lcl|NC_072398.2_cds_XP_054537252.1_7918	65.78	34.22	0.01063	79.69	4.69	3.52
lcl|NC_072398.2_cds_XP_524666.4_7957	57.50	42.5	-0.05734	78.80	4.34	3.44
lcl|NC_072398.2_cds_XP_016814847.3_7960	62.21	37.79	-0.12420	77.06	3.98	3.41
lcl|NC_072398.2_cds_XP_016814727.1_8005	49.51	50.49	0.05915	47.38	3.86	3.96
lcl|NC_072398.2_cds_XP_016814700.1_8025	66.47	33.53	-0.02430	73.52	4.68	3.50
lcl|NC_072398.2_cds_XP_016814612.1_8037	45.57	54.43	0.02634	39.61	3.56	4.14
lcl|NC_072398.2_cds_XP_009451951.1_8051	54.73	45.27	-0.02639	66.13	3.95	3.61
lcl|NC_072398.2_cds_XP_016814551.1_8059	47.36	52.64	0.03336	44.51	3.62	3.99
lcl|NC_072398.2_cds_XP_016814519.2_8062	43.82	56.18	0.17008	40.28	3.45	3.99
lcl|NC_072398.2_cds_XP_024213594.1_8082	49.75	50.25	0.01340	54.38	3.62	3.95
lcl|NC_072398.2_cds_XP_009451775.2_8098	42.52	57.48	0.02171	38.25	3.59	4.16
lcl|NC_072398.2_cds_XP_054537141.1_8126	35.49	64.51	0.03763	30.86	3.26	4.53
