sequence	Cluster
lcl|NC_071985.2_cds_XP_024101619.2_1536	3
lcl|NC_071985.2_cds_XP_054404330.1_1537	4
lcl|NC_071985.2_cds_XP_002809737.3_1540	4
lcl|NC_071985.2_cds_XP_009238348.2_1545	2
lcl|NC_071985.2_cds_XP_002809741.2_1565	3
lcl|NC_071985.2_cds_XP_054380211.1_1569	2
lcl|NC_071985.2_cds_XP_063582276.1_1601	4
lcl|NC_071985.2_cds_XP_063582315.1_1614	3
lcl|NC_071985.2_cds_XP_009238479.3_1616	3
lcl|NC_071985.2_cds_XP_002809755.1_1619	3
lcl|NC_071985.2_cds_XP_054380497.1_1647	4
lcl|NC_071985.2_cds_XP_054380586.1_1657	3
lcl|NC_071985.2_cds_XP_024095402.2_1670	4
lcl|NC_071985.2_cds_XP_063572879.1_1693	3
lcl|NC_071985.2_cds_XP_054406513.1_1723	3
lcl|NC_071985.2_cds_XP_054406561.1_1733	4
lcl|NC_071985.2_cds_XP_002809798.3_1747	3
lcl|NC_071985.2_cds_XP_024107616.1_1775	3
lcl|NC_071985.2_cds_XP_054380758.1_1785	3
lcl|NC_071985.2_cds_XP_054380787.1_1789	4
lcl|NC_071985.2_cds_XP_024088098.2_1792	3
lcl|NC_071985.2_cds_XP_024106938.1_1803	4
lcl|NC_071985.2_cds_XP_024086930.2_1811	3
lcl|NC_071985.2_cds_XP_024101222.1_1821	3
lcl|NC_071985.2_cds_XP_024088000.1_1852	3
lcl|NC_071985.2_cds_XP_024095720.2_1896	2
lcl|NC_071985.2_cds_XP_003775543.1_1908	2
lcl|NC_071985.2_cds_XP_024104981.2_1919	4
lcl|NC_071985.2_cds_XP_024101433.2_1950	3
lcl|NC_071985.2_cds_XP_024088137.3_1968	4
lcl|NC_071985.2_cds_XP_009239346.2_1996	3
lcl|NC_071985.2_cds_XP_024095203.2_2008	4
lcl|NC_071985.2_cds_XP_024112599.2_2058	2
lcl|NC_071985.2_cds_XP_024109455.2_2067	4
lcl|NC_071985.2_cds_NP_001126090.2_2083	4
lcl|NC_071985.2_cds_XP_024103725.1_2136	3
lcl|NC_071985.2_cds_XP_024102685.2_2204	3
lcl|NC_071985.2_cds_XP_002809949.3_2236	3
lcl|NC_071985.2_cds_XP_054389706.1_2276	3
lcl|NC_071985.2_cds_XP_024102171.1_2295	3
lcl|NC_071985.2_cds_NP_001125304.1_2298	3
lcl|NC_071985.2_cds_XP_054383069.1_2307	3
lcl|NC_071985.2_cds_XP_024110798.2_2368	3
lcl|NC_071985.2_cds_XP_054404609.1_2397	4
lcl|NC_071985.2_cds_XP_054406900.1_2403	3
lcl|NC_071985.2_cds_XP_002810048.3_2428	3
lcl|NC_071985.2_cds_XP_002810049.3_2433	3
lcl|NC_071985.2_cds_XP_002810064.3_2455	3
lcl|NC_071985.2_cds_XP_024103722.2_2456	3
lcl|NC_071985.2_cds_XP_024088043.2_2466	3
lcl|NC_071985.2_cds_XP_002810073.1_2499	3
lcl|NC_071985.2_cds_XP_054407397.1_2534	3
lcl|NC_071985.2_cds_XP_054407513.1_2565	3
lcl|NC_071985.2_cds_XP_054401492.1_2623	3
lcl|NC_071985.2_cds_XP_024100813.2_2629	3
lcl|NC_071985.2_cds_XP_054407658.1_2669	3
lcl|NC_071985.2_cds_XP_054407980.1_2696	3
lcl|NC_071985.2_cds_XP_054408103.1_2734	3
lcl|NC_071985.2_cds_XP_054408455.1_2804	4
lcl|NC_071985.2_cds_XP_054408590.1_2832	3
lcl|NC_071985.2_cds_XP_024088723.1_2879	3
lcl|NC_071985.2_cds_XP_063573552.1_2910	3
lcl|NC_071985.2_cds_XP_054408862.1_2931	3
lcl|NC_071985.2_cds_XP_009242097.1_2958	3
lcl|NC_071985.2_cds_XP_024101673.1_2960	2
lcl|NC_071985.2_cds_XP_024107845.1_3066	4
lcl|NC_071985.2_cds_XP_024095044.1_3069	2
lcl|NC_071985.2_cds_XP_024099183.1_3070	4
lcl|NC_071985.2_cds_XP_054384120.1_3121	3
lcl|NC_071985.2_cds_XP_024092306.1_3124	3
lcl|NC_071985.2_cds_XP_054384226.1_3143	3
lcl|NC_071985.2_cds_XP_009242767.1_3152	3
lcl|NC_071985.2_cds_XP_063573664.1_3180	3
lcl|NC_071985.2_cds_XP_024102253.1_3241	3
lcl|NC_071985.2_cds_XP_063573844.1_3275	4
lcl|NC_071985.2_cds_XP_024105341.1_3299	3
lcl|NC_071985.2_cds_XP_054384317.1_3335	3
lcl|NC_071985.2_cds_XP_054409465.1_3400	3
lcl|NC_071985.2_cds_XP_054409492.1_3408	3
lcl|NC_071985.2_cds_XP_002810364.2_3440	3
lcl|NC_071985.2_cds_XP_009243406.3_3442	3
lcl|NC_071985.2_cds_XP_063571399.1_3464	3
lcl|NC_071985.2_cds_XP_009243797.4_3496	3
lcl|NC_071985.2_cds_XP_024104725.2_3521	3
lcl|NC_071985.2_cds_XP_024104744.2_3528	4
lcl|NC_071985.2_cds_XP_024090231.2_3548	3
lcl|NC_071985.2_cds_XP_054384971.1_3550	4
lcl|NC_071985.2_cds_XP_024103305.2_3552	2
lcl|NC_071985.2_cds_XP_024112912.2_3554	4
lcl|NC_071985.2_cds_XP_063578514.1_3567	3
lcl|NC_071985.2_cds_XP_054385148.1_3590	2
lcl|NC_071985.2_cds_XP_054409834.1_3597	3
lcl|NC_071985.2_cds_XP_054409853.1_3602	2
lcl|NC_071985.2_cds_XP_054409888.1_3614	3
lcl|NC_071985.2_cds_XP_024087709.2_3636	4
lcl|NC_071985.2_cds_XP_024090539.2_3641	2
lcl|NC_071985.2_cds_XP_024103547.2_3664	3
lcl|NC_071985.2_cds_XP_024105682.1_3699	2
lcl|NC_071985.2_cds_XP_009244855.2_3769	3
lcl|NC_071985.2_cds_XP_002810520.3_3781	2
lcl|NC_071985.2_cds_XP_009244935.2_3805	3
lcl|NC_071985.2_cds_XP_024106148.2_3833	2
lcl|NC_071985.2_cds_XP_054386048.1_3850	3
lcl|NC_071985.2_cds_XP_054386137.1_3856	4
lcl|NC_071985.2_cds_XP_063574283.1_3867	3
lcl|NC_071985.2_cds_XP_024101245.2_3886	4
lcl|NC_071985.2_cds_XP_054386475.1_3915	2
lcl|NC_071985.2_cds_XP_054386604.1_3947	3
lcl|NC_071985.2_cds_XP_024089127.2_4004	2
lcl|NC_071985.2_cds_NP_001126169.1_4017	3
lcl|NC_071985.2_cds_XP_009245995.2_4072	4
lcl|NC_071985.2_cds_XP_024106370.2_4076	4
lcl|NC_071985.2_cds_XP_002810637.3_4079	2
lcl|NC_071985.2_cds_XP_063574487.1_4080	4
lcl|NC_071985.2_cds_XP_063574523.1_4107	2
lcl|NC_071985.2_cds_XP_054387035.1_4123	2
lcl|NC_071985.2_cds_XP_024093028.2_4154	2
lcl|NC_071985.2_cds_XP_054387209.1_4161	2
lcl|NC_071985.2_cds_NP_001153258.1_4166	4
lcl|NC_071985.2_cds_XP_054387275.1_4180	2
lcl|NC_071985.2_cds_XP_054387304.1_4190	2
lcl|NC_071985.2_cds_XP_054387396.1_4223	3
lcl|NC_071985.2_cds_XP_024111495.2_4254	2
lcl|NC_071985.2_cds_XP_003775699.3_4268	4
lcl|NC_071985.2_cds_XP_002810694.3_4269	4
lcl|NC_071985.2_cds_XP_024094218.2_4270	4
lcl|NC_071985.2_cds_XP_002810699.3_4314	4
lcl|NC_071985.2_cds_XP_054388022.1_4327	4
lcl|NC_071985.2_cds_XP_002810705.3_4328	2
lcl|NC_071985.2_cds_XP_024090207.1_4388	3
lcl|NC_071985.2_cds_XP_054388481.1_4415	4
lcl|NC_071985.2_cds_XP_054390706.1_4478	2
lcl|NC_071985.2_cds_XP_054388873.1_4485	3
lcl|NC_071985.2_cds_XP_054388962.1_4522	2
lcl|NC_071985.2_cds_XP_024111116.2_4557	2
lcl|NC_071985.2_cds_NP_001191784.1_4558	4
lcl|NC_071985.2_cds_XP_054388988.1_4559	4
lcl|NC_071985.2_cds_XP_024107720.2_4594	4
lcl|NC_071985.2_cds_XP_054389253.1_4623	4
lcl|NC_071985.2_cds_XP_024102140.2_4644	2
lcl|NC_071985.2_cds_XP_024102829.1_4673	2
lcl|NC_071985.2_cds_XP_054389526.1_4681	3
lcl|NC_071985.2_cds_XP_024101832.1_4697	4
lcl|NC_071985.2_cds_XP_024089105.1_4712	4
lcl|NC_071985.2_cds_XP_024089692.1_4722	4
lcl|NC_071985.2_cds_XP_054389617.1_4742	2
lcl|NC_071985.2_cds_XP_002810796.3_4755	4
lcl|NC_071985.2_cds_XP_024095347.2_4757	4
lcl|NC_071985.2_cds_XP_054389725.1_4759	4
lcl|NC_071985.2_cds_XP_063568297.1_4836	3
lcl|NC_071985.2_cds_XP_054390254.1_4872	3
lcl|NC_071985.2_cds_XP_054390629.1_4953	4
lcl|NC_071985.2_cds_XP_054410697.1_5007	2
lcl|NC_071985.2_cds_XP_024093789.1_5031	4
lcl|NC_071985.2_cds_XP_024104188.2_5033	3
lcl|NC_071985.2_cds_XP_024104181.2_5047	3
lcl|NC_071985.2_cds_XP_009248379.1_5058	3
lcl|NC_071985.2_cds_XP_054410842.1_5089	4
lcl|NC_071985.2_cds_XP_054391054.1_5170	2
lcl|NC_071985.2_cds_XP_054391395.1_5262	3
lcl|NC_071985.2_cds_XP_054378913.1_5275	3
lcl|NC_071985.2_cds_XP_002810951.2_5322	2
lcl|NC_071985.2_cds_XP_054391665.1_5330	3
lcl|NC_071985.2_cds_XP_009249319.3_5339	3
lcl|NC_071985.2_cds_XP_054379925.1_5465	3
lcl|NC_071985.2_cds_XP_009249563.2_5498	3
lcl|NC_071985.2_cds_XP_054392442.1_5523	3
lcl|NC_071985.2_cds_XP_024107542.2_5528	3
lcl|NC_071985.2_cds_XP_009249657.2_5543	3
lcl|NC_071985.2_cds_XP_054392667.1_5547	3
lcl|NC_071985.2_cds_XP_009249844.3_5589	4
lcl|NC_071985.2_cds_XP_024112707.2_5620	4
lcl|NC_071985.2_cds_NP_001125258.1_5702	2
lcl|NC_071985.2_cds_XP_063571056.1_5781	3
lcl|NC_071985.2_cds_XP_024091461.2_5801	3
lcl|NC_071985.2_cds_XP_054393716.1_5814	2
lcl|NC_071985.2_cds_XP_024108401.1_5839	4
lcl|NC_071985.2_cds_XP_024093579.2_5841	4
lcl|NC_071985.2_cds_XP_024104148.1_5864	3
lcl|NC_071985.2_cds_XP_024104296.1_5882	4
lcl|NC_071985.2_cds_XP_002811103.1_5907	3
lcl|NC_071985.2_cds_XP_009250855.1_5913	3
lcl|NC_071985.2_cds_XP_063575441.1_5917	3
lcl|NC_071985.2_cds_XP_024091245.1_5922	3
lcl|NC_071985.2_cds_XP_024102096.1_5932	4
lcl|NC_071985.2_cds_XP_002811116.3_5940	2
lcl|NC_071985.2_cds_XP_054393886.1_5952	4
lcl|NC_071985.2_cds_XP_009250965.2_5964	2
lcl|NC_071985.2_cds_XP_024088421.1_5978	3
lcl|NC_071985.2_cds_XP_054394050.1_5992	4
lcl|NC_071985.2_cds_XP_024095315.2_6004	4
lcl|NC_071985.2_cds_XP_054394121.1_6009	3
lcl|NC_071985.2_cds_XP_024104492.2_6048	2
lcl|NC_071985.2_cds_XP_003775795.3_6084	3
lcl|NC_071985.2_cds_XP_063569736.1_6199	4
lcl|NC_071985.2_cds_XP_054386867.1_6208	3
lcl|NC_071985.2_cds_XP_024107969.1_6223	3
lcl|NC_071985.2_cds_NP_001127595.1_6271	3
lcl|NC_071985.2_cds_XP_054394456.1_6283	2
lcl|NC_071985.2_cds_XP_054394519.1_6309	3
lcl|NC_071985.2_cds_XP_054395084.1_6438	3
lcl|NC_071985.2_cds_XP_002811250.3_6452	3
lcl|NC_071985.2_cds_XP_063570183.1_6469	4
lcl|NC_071985.2_cds_XP_024105668.2_6500	3
lcl|NC_071985.2_cds_XP_054395555.1_6518	3
lcl|NC_071985.2_cds_NP_001126712.1_6605	4
lcl|NC_071985.2_cds_XP_024108842.1_6622	4
lcl|NC_071985.2_cds_XP_024089898.2_6656	4
lcl|NC_071985.2_cds_XP_054411843.1_6667	4
lcl|NC_071985.2_cds_XP_024106251.1_6678	2
lcl|NC_071985.2_cds_XP_024087953.1_6683	2
lcl|NC_071985.2_cds_XP_024086771.2_6691	4
lcl|NC_071985.2_cds_XP_002811371.3_6692	3
lcl|NC_071985.2_cds_XP_063570552.1_6701	3
lcl|NC_071985.2_cds_XP_054402724.1_6709	2
lcl|NC_071985.2_cds_XP_054934522.1_6711	4
lcl|NC_071985.2_cds_XP_063575717.1_6733	2
lcl|NC_071985.2_cds_XP_054402861.1_6788	2
lcl|NC_071985.2_cds_XP_054396391.1_6809	4
lcl|NC_071985.2_cds_NP_001126319.1_6865	3
lcl|NC_071985.2_cds_XP_024106903.1_6874	3
lcl|NC_071985.2_cds_XP_063580144.1_6900	2
lcl|NC_071985.2_cds_NP_001127607.1_6911	3
lcl|NC_071985.2_cds_XP_054412144.1_6924	4
lcl|NC_071985.2_cds_XP_024091161.2_6946	3
lcl|NC_071985.2_cds_XP_063575998.1_6956	4
lcl|NC_071985.2_cds_XP_063575994.1_6960	4
lcl|NC_071985.2_cds_XP_024087413.2_7003	2
lcl|NC_071985.2_cds_XP_002811483.3_7028	3
lcl|NC_071985.2_cds_XP_024108634.2_7061	4
lcl|NC_071985.2_cds_XP_054397204.1_7113	4
lcl|NC_071985.2_cds_XP_054397402.1_7119	2
lcl|NC_071985.2_cds_XP_054397426.1_7125	2
lcl|NC_071985.2_cds_XP_024108657.2_7177	3
lcl|NC_071985.2_cds_NP_001125249.1_7207	4
lcl|NC_071985.2_cds_XP_054397657.1_7214	4
lcl|NC_071985.2_cds_XP_009233544.2_7244	2
lcl|NC_071985.2_cds_XP_024108864.1_7251	3
lcl|NC_071985.2_cds_XP_024108898.3_7254	2
lcl|NC_071985.2_cds_XP_054412487.1_7260	4
lcl|NC_071985.2_cds_XP_024094482.2_7264	2
lcl|NC_071985.2_cds_XP_054412607.1_7291	3
lcl|NC_071985.2_cds_XP_063571219.1_7298	2
lcl|NC_071985.2_cds_XP_002811573.4_7311	2
lcl|NC_071985.2_cds_XP_024109054.1_7321	2
lcl|NC_071985.2_cds_XP_054412871.1_7355	4
lcl|NC_071985.2_cds_XP_024087582.2_7405	2
lcl|NC_071985.2_cds_XP_054413070.1_7415	4
lcl|NC_071985.2_cds_XP_002811604.4_7437	4
lcl|NC_071985.2_cds_XP_054398023.1_7443	2
lcl|NC_071985.2_cds_XP_054397923.1_7455	2
lcl|NC_071985.2_cds_XP_024109843.2_7487	2
lcl|NC_071985.2_cds_XP_054398159.1_7492	4
lcl|NC_071985.2_cds_XP_024110522.2_7520	4
lcl|NC_071985.2_cds_XP_054398442.1_7542	3
lcl|NC_071985.2_cds_XP_024089927.2_7598	2
lcl|NC_071985.2_cds_XP_054413121.1_7601	2
lcl|NC_071985.2_cds_XP_063571802.1_7625	4
lcl|NC_071985.2_cds_XP_054413449.1_7665	4
lcl|NC_071985.2_cds_XP_063572162.1_7768	2
lcl|NC_071985.2_cds_XP_024111307.2_7807	2
lcl|NC_071985.2_cds_XP_054414061.1_7814	2
lcl|NC_071985.2_cds_XP_054414252.1_7873	2
lcl|NC_071985.2_cds_XP_063572310.1_7900	2
lcl|NC_085928.1_cds_XP_024100247.3_7945	4
lcl|NC_085928.1_cds_XP_054407189.2_7959	4
lcl|NC_085928.1_cds_XP_054407220.2_8001	3
lcl|NC_085928.1_cds_XP_054407222.1_8004	2
lcl|NC_085928.1_cds_XP_024100094.2_8016	4
lcl|NC_085928.1_cds_XP_024100252.1_8022	2
lcl|NC_085928.1_cds_XP_054407236.1_8032	3
lcl|NC_085928.1_cds_XP_054407237.2_8042	3
lcl|NC_085928.1_cds_XP_054407244.2_8045	4
lcl|NC_085928.1_cds_XP_024101104.3_8049	4
lcl|NC_085928.1_cds_XP_024100686.2_8093	2
lcl|NC_085928.1_cds_XP_054406512.2_8115	3
lcl|NC_085928.1_cds_XP_009236687.1_8144	3
lcl|NC_085928.1_cds_XP_054406542.2_8158	4
lcl|NC_085928.1_cds_XP_002813214.4_8205	3
lcl|NC_085928.1_cds_XP_024100494.3_8218	2
lcl|NC_085928.1_cds_XP_054407301.1_8240	2
lcl|NC_085928.1_cds_XP_063577619.1_8251	3
lcl|NC_085928.1_cds_XP_054407330.2_8289	4
lcl|NC_085928.1_cds_XP_054407332.2_8303	3
lcl|NC_085928.1_cds_XP_024100530.3_8327	2
lcl|NC_085928.1_cds_XP_063577794.1_8332	4
lcl|NC_085928.1_cds_XP_054407365.2_8348	2
lcl|NC_085928.1_cds_XP_054407371.2_8359	4
lcl|NC_085928.1_cds_XP_063577799.1_8371	2
lcl|NC_085928.1_cds_XP_054407376.2_8374	4
lcl|NC_085928.1_cds_XP_063578711.1_8395	4
lcl|NC_085928.1_cds_XP_024099973.2_8405	3
lcl|NC_085928.1_cds_XP_024100880.3_8435	3
lcl|NC_085928.1_cds_XP_024100646.3_8443	2
lcl|NC_085928.1_cds_XP_002813300.3_8492	4
lcl|NC_085928.1_cds_XP_009236790.3_8571	3
lcl|NC_085928.1_cds_XP_024099983.3_8589	3
lcl|NC_085928.1_cds_NP_001125403.1_8595	3
lcl|NC_085928.1_cds_XP_054407486.2_8606	3
lcl|NC_085928.1_cds_XP_063577835.1_8614	4
lcl|NC_085928.1_cds_XP_024100356.3_8633	3
lcl|NC_085928.1_cds_XP_054407500.2_8651	4
lcl|NC_085928.1_cds_XP_063577846.1_8676	4
lcl|NC_085928.1_cds_XP_054407525.2_8702	2
lcl|NC_085928.1_cds_XP_024100367.3_8712	2
lcl|NC_085928.1_cds_XP_002813365.2_8718	3
lcl|NC_085928.1_cds_XP_002813368.4_8721	3
lcl|NC_085928.1_cds_XP_024100291.1_8748	2
lcl|NC_085928.1_cds_XP_054407551.1_8766	2
lcl|NC_085928.1_cds_XP_024101119.3_8805	2
lcl|NC_085928.1_cds_NP_001126209.1_8808	3
lcl|NC_085928.1_cds_XP_054407562.1_8813	3
lcl|NC_085928.1_cds_XP_002813389.4_8830	4
lcl|NC_085928.1_cds_XP_024100913.3_8831	4
lcl|NC_085928.1_cds_XP_054407596.1_8909	4
lcl|NC_085928.1_cds_NP_001126051.1_8931	4
lcl|NC_085928.1_cds_XP_054407608.1_8936	2
lcl|NC_085928.1_cds_XP_054407631.2_8963	4
lcl|NC_085928.1_cds_XP_054407647.2_8993	2
lcl|NC_085928.1_cds_XP_054407661.2_9012	3
lcl|NC_085928.1_cds_XP_054407705.1_9068	2
lcl|NC_085928.1_cds_XP_024100032.3_9107	3
lcl|NC_085928.1_cds_XP_002813497.3_9112	2
lcl|NC_085928.1_cds_XP_054407744.1_9165	3
lcl|NC_085928.1_cds_XP_009237008.1_9211	3
lcl|NC_085928.1_cds_XP_054407813.1_9254	3
lcl|NC_085928.1_cds_XP_002813524.1_9277	4
lcl|NC_085928.1_cds_NP_001125005.1_9293	2
lcl|NC_085928.1_cds_XP_009237048.3_9302	4
lcl|NC_085928.1_cds_XP_054407851.2_9318	4
lcl|NC_085928.1_cds_XP_024099719.1_9324	4
lcl|NC_085928.1_cds_XP_054402821.1_9339	4
lcl|NC_085928.1_cds_XP_024101202.3_9348	2
lcl|NC_085928.1_cds_XP_002813562.2_9352	2
lcl|NC_085928.1_cds_XP_054407864.2_9430	4
lcl|NC_085928.1_cds_XP_024100299.1_9441	2
lcl|NC_085928.1_cds_XP_024100153.2_9465	2
lcl|NC_085928.1_cds_XP_054406267.2_9469	2
lcl|NC_085928.1_cds_XP_024100844.2_9508	2
lcl|NC_085928.1_cds_XP_054407885.1_9512	4
lcl|NC_085928.1_cds_XP_054407890.2_9524	2
lcl|NC_085928.1_cds_XP_054407920.1_9557	4
lcl|NC_085928.1_cds_XP_024100203.1_9582	4
lcl|NC_085928.1_cds_XP_054406603.1_9616	2
lcl|NC_085928.1_cds_XP_063578091.1_9670	4
lcl|NC_085928.1_cds_XP_054407973.1_9683	2
lcl|NC_085928.1_cds_XP_054407975.1_9704	2
lcl|NC_085928.1_cds_XP_009237167.3_9740	2
lcl|NC_085928.1_cds_XP_009237151.3_9761	4
lcl|NC_085928.1_cds_XP_054408008.1_9768	4
lcl|NC_085928.1_cds_XP_054408024.1_9792	2
lcl|NC_085928.1_cds_XP_054408026.1_9813	4
lcl|NC_085928.1_cds_XP_054408046.2_9828	3
lcl|NC_085928.1_cds_XP_063577671.1_9839	4
lcl|NC_085928.1_cds_NP_001125590.1_9842	4
lcl|NC_085928.1_cds_NP_001126282.1_9843	4
lcl|NC_085928.1_cds_XP_054406334.2_9849	3
lcl|NC_085928.1_cds_XP_054408055.2_9864	3
lcl|NC_085928.1_cds_XP_024100173.3_9916	3
lcl|NC_085928.1_cds_XP_002813687.3_9918	2
lcl|NC_085928.1_cds_XP_002813700.2_9922	3
lcl|NC_085928.1_cds_XP_054408119.2_9938	3
lcl|NC_085928.1_cds_XP_054408127.2_9954	2
lcl|NC_085928.1_cds_XP_024100110.1_10007	3
lcl|NC_085928.1_cds_XP_002813739.5_10013	3
lcl|NC_085928.1_cds_XP_063578547.1_10019	3
lcl|NC_085928.1_cds_XP_024100261.1_10026	2
lcl|NC_085928.1_cds_XP_054406640.1_10035	3
lcl|NC_085928.1_cds_XP_054406664.1_10054	2
lcl|NC_085928.1_cds_XP_024100374.1_10120	3
lcl|NC_085928.1_cds_XP_024100799.1_10128	3
lcl|NC_085928.1_cds_XP_054406704.1_10135	3
lcl|NC_085928.1_cds_XP_024101156.1_10142	3
lcl|NC_085928.1_cds_XP_024101007.1_10158	3
lcl|NC_085928.1_cds_XP_054406706.2_10175	3
lcl|NC_085928.1_cds_XP_054406726.1_10181	3
lcl|NC_085928.1_cds_NP_001125307.1_10199	3
lcl|NC_085928.1_cds_XP_024100812.3_10222	3
lcl|NC_085928.1_cds_XP_054406746.2_10247	3
lcl|NC_085928.1_cds_XP_063578577.1_10268	3
lcl|NC_085928.1_cds_NP_001127369.1_10297	3
lcl|NC_085928.1_cds_XP_063578169.1_10338	3
lcl|NC_085928.1_cds_XP_054408152.2_10363	3
lcl|NC_085928.1_cds_XP_063578596.1_10389	4
lcl|NC_085928.1_cds_XP_054406800.2_10395	3
lcl|NC_085928.1_cds_XP_054406376.1_10441	4
lcl|NC_085928.1_cds_XP_054406197.1_10491	3
lcl|NC_085928.1_cds_XP_054406835.1_10493	3
lcl|NC_085928.1_cds_XP_024100037.2_10513	3
lcl|NC_085928.1_cds_XP_009237363.4_10520	3
lcl|NC_085928.1_cds_XP_002813857.2_10537	3
lcl|NC_085928.1_cds_XP_054406869.2_10542	3
lcl|NC_085928.1_cds_XP_024101191.3_10572	3
lcl|NC_085928.1_cds_XP_002813881.4_10589	3
lcl|NC_085928.1_cds_XP_002813891.1_10606	4
lcl|NC_085928.1_cds_XP_024100579.1_10631	4
lcl|NC_085928.1_cds_XP_009237402.1_10656	4
lcl|NC_085928.1_cds_XP_054406929.1_10684	4
lcl|NC_085928.1_cds_XP_024100865.3_10698	2
lcl|NC_085928.1_cds_XP_024100262.3_10757	2
lcl|NC_085928.1_cds_XP_024100207.3_10779	3
lcl|NC_085928.1_cds_XP_054406377.2_10790	4
lcl|NC_085928.1_cds_XP_002813953.3_10835	4
lcl|NC_085928.1_cds_XP_002813962.4_10851	3
lcl|NC_085928.1_cds_XP_054408246.1_10879	4
lcl|NC_085928.1_cds_XP_024100707.3_10893	4
lcl|NC_085928.1_cds_XP_009237473.2_10896	4
lcl|NC_085928.1_cds_XP_054408258.2_10899	4
