seqname	GC	AT	GC_skew	GC3	GC_avg_stretch	AT_avg_stretch
lcl|NC_073249.2_cds_XP_054964560.2_875	60.72	39.28	0.02951	70.39	4.10	3.56
lcl|NC_073249.2_cds_XP_003831252.5_881	57.64	42.36	-0.05619	75.97	4.14	3.61
lcl|NC_073249.2_cds_XP_034801596.3_901	49.27	50.73	-0.01290	46.80	3.92	3.96
lcl|NC_073249.2_cds_XP_054964643.1_903	46.31	53.69	-0.00334	39.20	3.62	3.91
lcl|NC_073249.2_cds_XP_054964779.2_933	56.75	43.25	-0.08338	56.78	4.09	3.65
lcl|NC_073249.2_cds_XP_063455757.1_969	53.42	46.58	-0.04075	67.07	3.94	3.75
lcl|NC_073249.2_cds_XP_003823003.3_1045	53.01	46.99	0.04801	61.61	4.08	3.75
lcl|NC_073249.2_cds_XP_003823009.2_1054	60.61	39.39	-0.04490	73.78	4.14	3.40
lcl|NC_073249.2_cds_XP_008974812.4_1094	57.06	42.94	-0.05174	69.86	4.02	3.67
lcl|NC_073249.2_cds_XP_008974824.2_1118	57.08	42.92	-0.05500	72.29	4.08	3.63
lcl|NC_073249.2_cds_XP_008974826.2_1125	60.50	39.5	-0.07385	71.88	4.26	3.70
lcl|NC_073249.2_cds_XP_054965412.1_1184	42.11	57.89	0.04685	38.47	3.48	4.16
lcl|NC_073249.2_cds_XP_008974847.1_1191	50.75	49.25	0.02485	60.55	3.72	3.67
lcl|NC_073249.2_cds_XP_063456929.1_1218	60.63	39.37	0.06347	74.08	4.20	3.48
lcl|NC_073249.2_cds_XP_063457524.1_1241	48.07	51.93	0.05439	47.82	3.73	3.97
lcl|NC_073249.2_cds_XP_008974872.4_1257	51.32	48.68	0.05515	50.85	3.89	3.88
lcl|NC_073249.2_cds_XP_054965630.1_1272	61.94	38.06	-0.09014	74.48	4.25	3.46
lcl|NC_073249.2_cds_XP_003823074.4_1296	50.83	49.17	0.00692	55.37	3.87	3.88
lcl|NC_073249.2_cds_XP_034799381.1_1304	58.11	41.89	-0.07986	66.65	4.17	3.58
lcl|NC_073249.2_cds_XP_063459494.1_1321	57.00	43	0.29108	54.85	3.81	3.77
lcl|NC_073249.2_cds_XP_054965909.1_1332	55.80	44.2	-0.04814	76.73	3.88	3.44
lcl|NC_073249.2_cds_XP_003823096.1_1335	59.93	40.07	0.01800	79.00	4.25	3.43
lcl|NC_073249.2_cds_XP_003823102.2_1348	41.07	58.93	0.02070	33.36	3.47	4.21
lcl|NC_073249.2_cds_XP_003823106.2_1356	38.04	61.96	0.09564	30.26	3.35	4.29
lcl|NC_073249.2_cds_XP_003823107.1_1358	47.27	52.73	-0.00314	46.71	4.22	3.99
lcl|NC_073249.2_cds_XP_063454048.1_1367	41.76	58.24	-0.02323	37.98	3.59	4.36
lcl|NC_073249.2_cds_XP_008974920.4_1394	45.22	54.78	0.00812	45.18	3.36	4.18
lcl|NC_073249.2_cds_XP_034798983.1_1401	37.33	62.67	0.05397	27.58	3.35	4.52
lcl|NC_073249.2_cds_XP_003823126.3_1404	36.93	63.07	0.05061	31.37	3.55	4.57
lcl|NC_073249.2_cds_XP_034798867.1_1441	39.56	60.44	0.11354	28.17	3.41	4.37
lcl|NC_073249.2_cds_XP_008972295.3_1443	40.68	59.32	0.01649	38.32	3.52	4.33
lcl|NC_073249.2_cds_XP_003815642.1_1488	42.45	57.55	0.10525	32.34	3.69	4.06
lcl|NC_073249.2_cds_XP_034798442.3_1490	50.15	49.85	-0.33753	43.33	3.55	3.94
lcl|NC_073249.2_cds_XP_003815646.4_1492	45.19	54.81	0.02892	38.43	3.57	4.07
lcl|NC_073249.2_cds_XP_024785360.1_1515	37.63	62.37	0.01258	33.33	3.53	4.46
lcl|NC_073249.2_cds_XP_003815652.3_1526	51.38	48.62	0.07821	56.19	3.77	3.86
lcl|NC_073249.2_cds_XP_008966812.4_1527	42.46	57.54	0.11570	37.16	3.72	4.35
lcl|NC_073249.2_cds_XP_054966627.1_1568	47.80	52.2	-0.09914	47.99	3.48	3.94
lcl|NC_073249.2_cds_XP_034798032.1_1573	53.27	46.73	0.08313	55.61	3.86	3.60
lcl|NC_073249.2_cds_XP_003815675.4_1576	51.55	48.45	0.07068	54.47	3.99	3.65
lcl|NC_073249.2_cds_XP_054966694.1_1580	44.72	55.28	0.09560	38.55	3.61	4.09
lcl|NC_073249.2_cds_XP_054966778.2_1615	45.17	54.83	-0.02190	55.94	3.48	4.06
lcl|NC_073249.2_cds_XP_057157962.1_1633	55.78	44.22	-0.01385	70.52	4.10	3.84
lcl|NC_073249.2_cds_XP_034797673.3_1641	66.82	33.18	-0.02059	72.15	4.72	3.39
lcl|NC_073249.2_cds_XP_034797600.2_1656	41.89	58.11	0.04814	34.11	3.47	4.12
lcl|NC_073249.2_cds_XP_054967012.1_1672	43.31	56.69	0.04903	40.35	3.44	4.10
lcl|NC_073249.2_cds_XP_054967015.2_1680	38.66	61.34	0.12681	38.20	3.56	4.38
lcl|NC_073249.2_cds_XP_034797357.1_1685	52.24	47.76	0.01187	52.16	3.86	3.84
lcl|NC_073249.2_cds_XP_034797222.3_1726	49.57	50.43	0.00000	52.13	3.67	3.93
lcl|NC_073249.2_cds_XP_063454443.1_1730	55.02	44.98	0.00627	56.12	3.69	3.83
lcl|NC_073249.2_cds_XP_003824737.3_1736	56.34	43.66	-0.01964	69.19	4.03	3.54
lcl|NC_073249.2_cds_XP_054967146.2_1737	54.22	45.78	0.00377	59.93	3.79	3.57
lcl|NC_073249.2_cds_XP_003824735.1_1748	55.83	44.17	0.00791	66.08	3.87	3.71
lcl|NC_073249.2_cds_XP_034797054.3_1755	58.21	41.79	0.06565	72.04	4.08	3.69
lcl|NC_073249.2_cds_XP_063459867.1_1762	44.13	55.87	0.12405	44.13	3.36	3.98
lcl|NC_073249.2_cds_XP_034796870.1_1777	48.40	51.6	-0.05218	40.26	3.51	3.87
lcl|NC_073249.2_cds_XP_054967385.2_1819	34.62	65.38	0.06840	33.18	3.33	4.82
lcl|NC_073249.2_cds_XP_003824713.4_1834	38.96	61.04	0.03749	29.64	3.48	4.44
lcl|NC_073249.2_cds_XP_008976555.4_1846	48.05	51.95	-0.01435	50.80	3.80	3.85
lcl|NC_073249.2_cds_XP_034796344.3_1872	46.74	53.26	-0.07050	32.72	3.51	4.04
lcl|NC_073249.2_cds_XP_003824692.2_1893	40.91	59.09	0.01890	45.59	3.46	4.29
lcl|NC_073249.2_cds_XP_008976536.1_1913	42.36	57.64	-0.01812	39.58	3.45	4.18
lcl|NC_073249.2_cds_XP_003824672.4_1923	45.27	54.73	-0.09729	45.57	3.49	4.06
lcl|NC_073249.2_cds_XP_034795650.1_1984	44.28	55.72	0.03371	34.22	3.47	4.19
lcl|NC_073249.2_cds_XP_003824651.3_1996	43.60	56.4	0.01661	53.07	3.51	4.21
lcl|NC_073249.2_cds_XP_008976509.2_2023	57.65	42.35	0.12550	71.92	3.89	3.52
lcl|NC_073249.2_cds_XP_003824617.2_2094	50.27	49.73	0.00077	58.29	3.67	3.69
lcl|NC_073249.2_cds_XP_024785569.1_2182	62.89	37.11	-0.03254	68.36	4.24	3.28
lcl|NC_073249.2_cds_XP_003811903.1_2233	58.02	41.98	0.12513	58.08	3.94	3.49
lcl|NC_073249.2_cds_XP_034794227.3_2272	49.05	50.95	0.03634	52.43	3.69	3.73
lcl|NC_073249.2_cds_XP_034794233.1_2291	52.36	47.64	-0.00921	64.42	3.75	3.95
lcl|NC_073249.2_cds_XP_003811938.1_2292	57.00	43	0.01375	73.65	3.97	3.27
lcl|NC_073249.2_cds_XP_034794228.3_2306	63.67	36.33	-0.07159	69.38	4.43	3.41
lcl|NC_073249.2_cds_XP_063455007.1_2383	48.73	51.27	0.13454	54.21	3.61	3.73
lcl|NC_073249.2_cds_XP_008972742.4_2426	53.82	46.18	-0.06510	56.76	3.97	3.91
lcl|NC_073249.2_cds_XP_034793769.3_2439	56.90	43.1	-0.04409	62.62	3.98	3.72
lcl|NC_073249.2_cds_XP_034793704.1_2466	63.42	36.58	-0.09063	69.85	4.12	3.38
lcl|NC_073249.2_cds_XP_054969033.1_2472	60.89	39.11	-0.04175	73.96	4.06	3.42
lcl|NC_073249.2_cds_XP_003821092.4_2499	59.10	40.9	0.17537	61.57	4.20	3.68
lcl|NC_073249.2_cds_XP_003821093.1_2500	62.41	37.59	0.01882	67.95	4.21	3.40
lcl|NC_073249.2_cds_XP_003821099.3_2511	56.62	43.38	0.00865	69.14	3.79	3.64
lcl|NC_073249.2_cds_XP_008972771.1_2534	55.32	44.68	-0.03360	64.71	3.81	3.56
lcl|NC_073249.2_cds_XP_034793147.2_2590	59.11	40.89	0.00098	69.40	4.27	3.41
lcl|NC_073249.2_cds_XP_024784216.4_2621	50.19	49.81	0.02488	49.78	3.69	3.71
lcl|NC_073249.2_cds_XP_034792865.2_2670	44.12	55.88	-0.00677	40.08	3.52	4.07
lcl|NC_073249.2_cds_XP_008968441.1_2678	64.17	35.83	-0.06693	69.13	4.68	3.86
lcl|NC_073249.2_cds_XP_063460778.1_2726	56.08	43.92	0.05090	59.59	3.85	3.49
lcl|NC_073249.2_cds_XP_063460809.1_2797	61.63	38.37	-0.03781	66.26	4.07	3.74
lcl|NC_073249.2_cds_XP_054956991.1_2801	58.36	41.64	-0.01223	67.87	3.91	3.76
lcl|NC_073249.2_cds_XP_054957122.1_2843	51.62	48.38	-0.00899	56.67	3.77	3.83
lcl|NC_073249.2_cds_XP_008968535.1_2859	54.74	45.26	-0.02567	73.88	3.94	3.49
lcl|NC_073249.2_cds_XP_063461136.1_2906	52.52	47.48	-0.10136	51.07	3.90	3.66
lcl|NC_073249.2_cds_XP_054969430.1_2929	44.89	55.11	0.01139	43.97	3.56	4.13
lcl|NC_073249.2_cds_XP_003817171.2_2970	61.96	38.04	-0.06391	68.02	4.31	3.41
lcl|NC_073249.2_cds_XP_063461297.1_2981	63.55	36.45	-0.00186	70.18	4.61	3.51
lcl|NC_073249.2_cds_XP_008968588.4_2983	53.17	46.83	-0.00057	63.57	3.86	3.73
lcl|NC_073249.2_cds_XP_003817195.2_2986	60.33	39.67	0.03330	75.61	4.40	3.61
lcl|NC_073249.2_cds_XP_034791557.3_3074	54.92	45.08	0.00943	47.35	3.68	3.63
lcl|NC_073249.2_cds_XP_063455218.1_3075	57.10	42.9	-0.02576	46.84	3.77	3.42
lcl|NC_073249.2_cds_XP_054969807.2_3076	49.09	50.91	-0.00508	47.81	3.32	3.65
lcl|NC_073249.2_cds_XP_054966193.1_3077	60.17	39.83	0.28002	73.10	4.60	4.06
lcl|NC_073249.2_cds_XP_003817269.3_3078	47.22	52.78	0.07020	38.45	3.43	3.82
lcl|NC_073249.2_cds_XP_003817295.4_3124	58.78	41.22	0.16816	68.36	4.14	3.44
lcl|NC_073249.2_cds_XP_008968639.3_3125	51.17	48.83	-0.07387	51.38	3.65	3.76
lcl|NC_073249.2_cds_XP_008968658.1_3148	54.20	45.8	-0.01447	65.41	3.89	3.55
lcl|NC_073249.2_cds_XP_034791105.1_3159	60.71	39.29	-0.04447	64.15	4.14	3.57
lcl|NC_073249.2_cds_XP_063461480.1_3184	64.98	35.02	-0.08308	70.44	5.02	3.52
lcl|NC_073249.2_cds_XP_008968702.1_3231	50.78	49.22	0.02963	53.18	3.80	3.66
lcl|NC_073249.2_cds_XP_063461605.1_3265	64.38	35.62	-0.08879	65.79	4.40	3.45
lcl|NC_073249.2_cds_XP_003817358.3_3282	50.73	49.27	-0.14067	47.47	3.75	3.88
lcl|NC_073249.2_cds_XP_034790278.1_3327	55.63	44.37	0.09168	59.43	3.87	3.53
lcl|NC_073249.2_cds_XP_003809240.1_3398	56.39	43.61	-0.12096	53.82	4.02	3.74
lcl|NC_073249.2_cds_XP_008959630.2_3403	47.57	52.43	0.11406	48.27	3.76	4.19
lcl|NC_073249.2_cds_XP_008949290.4_3434	58.82	41.18	0.14027	63.17	4.12	3.47
lcl|NC_073249.2_cds_XP_063461918.1_3438	54.48	45.52	0.03623	55.16	3.91	3.54
lcl|NC_073249.2_cds_XP_034816394.3_3490	51.48	48.52	0.03256	55.42	3.67	3.62
lcl|NC_073249.2_cds_XP_054970089.2_3551	46.09	53.91	0.06393	41.36	3.95	4.18
lcl|NC_073249.2_cds_XP_057158598.2_3573	50.68	49.32	-0.12571	49.69	3.82	3.99
lcl|NC_073249.2_cds_XP_034786027.1_3592	48.58	51.42	0.01582	43.88	4.47	3.96
lcl|NC_073249.2_cds_XP_054970224.1_3597	42.40	57.6	0.01606	40.00	3.46	4.13
lcl|NC_073249.2_cds_XP_054970248.1_3609	43.51	56.49	0.10063	38.46	3.49	4.04
lcl|NC_073249.2_cds_XP_008971779.3_3627	33.81	66.19	0.16044	28.76	3.39	4.53
lcl|NC_073249.2_cds_XP_034785752.1_3651	49.67	50.33	0.03932	55.86	3.81	3.70
lcl|NC_073249.2_cds_XP_034785699.2_3656	59.12	40.88	0.00604	76.19	3.92	3.43
lcl|NC_073249.2_cds_XP_003806329.4_3660	57.05	42.95	0.05445	69.55	4.11	3.88
lcl|NC_073249.2_cds_XP_008950231.3_3662	48.09	51.91	0.01540	48.03	3.61	3.63
lcl|NC_073249.2_cds_XP_063455411.1_3676	44.10	55.9	0.13531	43.01	3.48	3.91
lcl|NC_073249.2_cds_XP_034785664.3_3682	42.15	57.85	0.02632	39.34	3.42	4.18
lcl|NC_073249.2_cds_XP_054958508.1_3709	54.69	45.31	0.01214	56.42	3.90	3.57
lcl|NC_073249.2_cds_XP_054958518.2_3713	50.32	49.68	0.05367	55.80	3.95	3.96
lcl|NC_073249.2_cds_XP_063462355.1_3714	49.46	50.54	0.09359	53.61	3.74	4.06
lcl|NC_073249.2_cds_XP_063462357.1_3715	48.70	51.3	0.10079	52.38	3.68	4.05
lcl|NC_073249.2_cds_XP_054967550.1_3717	44.46	55.54	-0.01374	44.26	3.78	4.13
lcl|NC_073249.2_cds_XP_008961297.1_3734	57.37	42.63	-0.02546	70.22	4.18	3.52
lcl|NC_073249.2_cds_XP_003810735.2_3783	45.71	54.29	0.04370	43.48	4.22	4.16
lcl|NC_073249.2_cds_XP_034789166.1_3854	56.68	43.32	0.04871	54.40	4.37	3.64
lcl|NC_073249.2_cds_XP_003810695.3_3867	54.97	45.03	0.01013	69.45	4.27	3.50
lcl|NC_073249.2_cds_XP_063462537.1_3894	49.03	50.97	0.10859	52.18	3.68	4.04
lcl|NC_073249.2_cds_XP_034788905.1_3898	60.68	39.32	-0.01124	79.66	4.33	3.61
lcl|NC_073249.2_cds_XP_034788669.3_3961	61.29	38.71	-0.04767	72.54	4.32	3.38
lcl|NC_073249.2_cds_XP_034788605.1_3965	53.39	46.61	-0.06404	63.91	3.77	3.64
lcl|NC_073249.2_cds_XP_034788552.1_3980	42.21	57.79	0.06383	33.08	3.55	4.16
lcl|NC_073249.2_cds_XP_063462708.1_4016	43.61	56.39	-0.05388	40.50	3.63	4.32
lcl|NC_073249.2_cds_XP_034788284.1_4034	42.43	57.57	0.07623	42.12	3.63	4.29
lcl|NC_073249.2_cds_XP_034788095.3_4086	51.82	48.18	0.12588	28.48	3.91	4.01
lcl|NC_073249.2_cds_XP_003808512.4_4150	40.01	59.99	0.08587	30.98	3.40	4.35
lcl|NC_073249.2_cds_XP_003808505.3_4169	44.67	55.33	0.06182	38.69	3.60	4.05
lcl|NC_073249.2_cds_XP_054971855.1_4211	39.96	60.04	0.00859	33.04	3.28	4.40
lcl|NC_073249.2_cds_XP_034787349.3_4213	52.57	47.43	-0.03012	63.81	3.80	3.88
lcl|NC_073249.2_cds_XP_003808484.4_4215	42.01	57.99	0.09783	35.84	3.67	4.13
lcl|NC_073249.2_cds_XP_034787192.3_4248	35.54	64.46	0.15717	29.91	3.25	4.48
lcl|NC_073249.2_cds_XP_063462935.1_4268	42.03	57.97	0.08348	38.88	3.49	4.01
lcl|NC_073249.2_cds_XP_034786944.3_4293	38.94	61.06	0.06959	30.40	3.41	4.39
lcl|NC_073249.2_cds_XP_054972133.2_4297	37.49	62.51	0.03882	32.12	3.35	4.35
lcl|NC_073249.2_cds_XP_034786901.1_4299	49.67	50.33	-0.02124	54.16	3.72	3.98
lcl|NC_073249.2_cds_XP_054972188.1_4319	35.41	64.59	0.10089	27.14	3.29	4.48
lcl|NC_073249.2_cds_XP_034786714.1_4324	38.42	61.58	0.04183	30.24	3.40	4.36
lcl|NC_073249.2_cds_XP_034786625.1_4348	42.37	57.63	-0.04762	47.50	3.42	4.20
lcl|NC_073249.2_cds_XP_003808433.3_4378	39.66	60.34	0.10410	29.24	3.60	4.42
lcl|NC_073249.2_cds_XP_003805350.4_4399	40.20	59.8	0.02620	31.70	3.52	4.36
lcl|NC_073249.2_cds_XP_003805349.4_4401	45.39	54.61	0.00482	42.62	3.61	4.02
lcl|NC_073249.2_cds_XP_003805348.4_4402	42.37	57.63	-0.01333	37.92	3.56	4.40
lcl|NC_073249.2_cds_XP_054972566.2_4419	47.68	52.32	0.13004	27.58	3.69	4.15
lcl|NC_073249.2_cds_XP_063456096.1_4436	49.44	50.56	0.06173	46.90	4.58	4.38
lcl|NC_073249.2_cds_XP_003805338.3_4438	40.13	59.87	-0.00186	38.34	3.51	4.46
lcl|NC_073249.2_cds_XP_034789782.2_4490	43.63	56.37	0.06688	42.74	3.92	4.26
lcl|NC_073249.2_cds_XP_054972789.1_4520	43.15	56.85	-0.01089	41.14	3.53	4.30
lcl|NC_073249.2_cds_XP_054973074.1_4586	38.92	61.08	0.07720	29.80	3.44	4.40
lcl|NC_073249.2_cds_XP_054973077.1_4594	41.08	58.92	0.07361	30.97	3.27	4.27
lcl|NC_073249.2_cds_XP_054973114.1_4618	38.06	61.94	-0.03268	30.81	3.85	4.58
lcl|NC_073249.2_cds_XP_003830632.5_4650	47.55	52.45	0.23168	41.41	3.58	4.03
lcl|NC_073249.2_cds_XP_054973275.1_4653	44.11	55.89	0.03898	38.84	3.51	4.23
lcl|NC_073249.2_cds_XP_034823529.3_4655	41.34	58.66	-0.06835	38.27	3.48	4.46
lcl|NC_073249.2_cds_XP_003830661.2_4691	44.91	55.09	-0.00977	41.76	3.65	4.00
lcl|NC_073249.2_cds_XP_034823034.3_4718	47.66	52.34	-0.05186	48.90	3.48	4.16
lcl|NC_073249.2_cds_XP_003807000.3_4748	40.33	59.67	0.06823	31.96	3.53	4.31
lcl|NC_073249.2_cds_XP_054973600.1_4787	48.46	51.54	-0.12356	40.72	4.02	4.20
lcl|NC_073249.2_cds_XP_054973681.1_4800	38.42	61.58	0.01786	36.11	3.32	4.45
lcl|NC_073249.2_cds_XP_008957195.2_4812	50.15	49.85	-0.03628	48.61	3.79	3.76
lcl|NC_073249.2_cds_XP_034822556.3_4821	47.79	52.21	0.04348	59.31	3.67	4.18
lcl|NC_073249.2_cds_XP_003806981.2_4826	49.65	50.35	-0.04055	55.45	3.94	3.90
lcl|NC_073249.2_cds_XP_008957191.5_4841	49.47	50.53	-0.10201	51.92	3.83	3.96
lcl|NC_073249.2_cds_XP_054947818.1_4858	41.60	58.4	0.02167	35.35	3.44	4.21
lcl|NC_073249.2_cds_XP_003809206.4_4874	57.90	42.1	-0.01965	64.16	3.85	3.59
lcl|NC_073249.2_cds_XP_054947880.2_4875	38.19	61.81	0.25126	34.57	3.47	4.46
lcl|NC_073249.2_cds_XP_034822236.3_4880	45.34	54.66	0.09224	38.68	3.59	4.22
lcl|NC_073249.2_cds_XP_008966101.2_4958	44.17	55.83	0.05991	42.33	3.90	4.10
lcl|NC_073249.2_cds_XP_054948177.2_4962	65.57	34.43	-0.01430	76.08	4.32	3.30
lcl|NC_073249.2_cds_XP_063457101.1_5003	57.17	42.83	-0.03973	72.67	3.90	3.72
lcl|NC_073249.2_cds_XP_034821360.1_5082	59.23	40.77	-0.01267	70.62	4.36	3.57
lcl|NC_073249.2_cds_XP_008966154.4_5141	40.88	59.12	0.04489	34.66	3.46	4.38
lcl|NC_073249.2_cds_XP_008966162.4_5165	50.31	49.69	-0.03082	53.02	3.65	3.66
lcl|NC_073249.2_cds_XP_008966164.2_5167	59.21	40.79	0.04243	65.24	4.08	3.45
lcl|NC_073249.2_cds_XP_034821079.1_5179	43.64	56.36	0.06909	39.13	3.40	4.11
lcl|NC_073249.2_cds_XP_003829605.4_5187	44.32	55.68	0.09618	43.85	3.71	4.12
lcl|NC_073249.2_cds_XP_034820985.1_5202	43.33	56.67	0.03460	36.30	3.44	3.98
lcl|NC_073249.2_cds_XP_054949225.2_5279	41.58	58.42	-0.04726	34.83	3.49	4.28
lcl|NC_073249.2_cds_XP_008963475.4_5408	57.64	42.36	-0.04195	61.90	4.10	3.75
lcl|NC_073249.2_cds_XP_008963503.2_5490	58.03	41.97	-0.04329	62.39	4.77	3.70
lcl|NC_073249.2_cds_XP_034819535.1_5496	59.87	40.13	0.05919	72.43	4.31	3.41
lcl|NC_073249.2_cds_XP_008963515.1_5503	61.79	38.21	-0.08333	72.84	4.17	3.35
lcl|NC_073249.2_cds_XP_024784653.4_5567	53.82	46.18	-0.07166	66.67	4.09	3.45
lcl|NC_073249.2_cds_XP_003812873.1_5625	56.64	43.36	-0.02320	70.85	3.83	3.44
lcl|NC_073249.2_cds_XP_003812879.1_5644	50.17	49.83	0.07424	54.08	3.81	3.66
lcl|NC_073249.2_cds_XP_054950252.2_5666	60.87	39.13	-0.02077	76.94	4.25	3.38
lcl|NC_073249.2_cds_XP_003812886.4_5673	58.63	41.37	-0.05002	63.24	4.06	3.48
lcl|NC_073249.2_cds_XP_003812898.1_5685	61.87	38.13	0.00662	73.49	4.52	3.47
lcl|NC_073249.2_cds_XP_054950358.2_5706	48.10	51.9	0.05451	58.18	3.59	3.92
lcl|NC_073249.2_cds_XP_034818589.3_5739	39.58	60.42	0.13543	37.91	3.46	4.40
lcl|NC_073249.2_cds_XP_008966685.4_5762	59.59	40.41	-0.14060	64.27	4.09	3.61
lcl|NC_073249.2_cds_XP_003815470.3_5867	39.95	60.05	0.04052	34.05	3.65	4.32
lcl|NC_073249.2_cds_XP_054951003.2_5953	46.61	53.39	0.08300	47.50	3.57	3.95
lcl|NC_073249.2_cds_XP_034817486.1_5975	50.64	49.36	0.08344	59.05	3.92	3.87
lcl|NC_073249.2_cds_XP_063457515.1_5998	65.75	34.25	0.01107	79.58	4.68	3.53
lcl|NC_073249.2_cds_XP_008966728.2_6035	57.46	42.54	-0.05801	78.80	4.32	3.44
lcl|NC_073249.2_cds_XP_003812645.1_6037	62.29	37.71	-0.12404	77.30	3.99	3.36
lcl|NC_073249.2_cds_XP_034817214.1_6059	49.58	50.42	0.05767	47.59	3.86	3.96
lcl|NC_073249.2_cds_XP_034817200.1_6084	66.55	33.45	-0.01963	73.99	4.68	3.50
lcl|NC_073249.2_cds_XP_034817166.2_6086	71.26	28.74	0.03501	67.57	5.06	3.36
lcl|NC_073249.2_cds_XP_063464930.1_6095	45.57	54.43	0.02464	39.61	3.57	4.14
lcl|NC_073249.2_cds_XP_008963291.1_6101	54.74	45.26	-0.01556	66.55	3.99	3.62
lcl|NC_073249.2_cds_XP_054951443.1_6105	47.32	52.68	0.03420	44.39	3.63	3.99
