sequence	Cluster
lcl|NC_073249.2_cds_XP_003824672.4_1923	3
lcl|NC_073249.2_cds_XP_034795650.1_1984	2
lcl|NC_073249.2_cds_XP_003824651.3_1996	3
lcl|NC_073249.2_cds_XP_008976509.2_2023	3
lcl|NC_073249.2_cds_XP_003824617.2_2094	2
lcl|NC_073249.2_cds_XP_024785569.1_2182	2
lcl|NC_073249.2_cds_XP_003811903.1_2233	2
lcl|NC_073249.2_cds_XP_034794227.3_2272	2
lcl|NC_073249.2_cds_XP_034794233.1_2291	2
lcl|NC_073249.2_cds_XP_003811938.1_2292	2
lcl|NC_073249.2_cds_XP_034794228.3_2306	2
lcl|NC_073249.2_cds_XP_063455007.1_2383	2
lcl|NC_073249.2_cds_XP_008972742.4_2426	3
lcl|NC_073249.2_cds_XP_034793769.3_2439	2
lcl|NC_073249.2_cds_XP_034793704.1_2466	2
lcl|NC_073249.2_cds_XP_054969033.1_2472	2
lcl|NC_073249.2_cds_XP_003821092.4_2499	3
lcl|NC_073249.2_cds_XP_003821093.1_2500	2
lcl|NC_073249.2_cds_XP_003821099.3_2511	2
lcl|NC_073249.2_cds_XP_008972771.1_2534	2
lcl|NC_073249.2_cds_XP_034793147.2_2590	2
lcl|NC_073249.2_cds_XP_024784216.4_2621	2
lcl|NC_073249.2_cds_XP_034792865.2_2670	2
lcl|NC_073249.2_cds_XP_008968441.1_2678	1
lcl|NC_073249.2_cds_XP_063460778.1_2726	2
lcl|NC_073249.2_cds_XP_063460809.1_2797	2
lcl|NC_073249.2_cds_XP_054956991.1_2801	3
lcl|NC_073249.2_cds_XP_054957122.1_2843	3
lcl|NC_073249.2_cds_XP_008968535.1_2859	2
lcl|NC_073249.2_cds_XP_063461136.1_2906	2
lcl|NC_073249.2_cds_XP_054969430.1_2929	2
lcl|NC_073249.2_cds_XP_003817171.2_2970	2
lcl|NC_073249.2_cds_XP_063461297.1_2981	2
lcl|NC_073249.2_cds_XP_008968588.4_2983	2
lcl|NC_073249.2_cds_XP_003817195.2_2986	1
lcl|NC_073249.2_cds_XP_034791557.3_3074	3
lcl|NC_073249.2_cds_XP_063455218.1_3075	2
lcl|NC_073249.2_cds_XP_054969807.2_3076	3
lcl|NC_073249.2_cds_XP_054966193.1_3077	1
lcl|NC_073249.2_cds_XP_003817269.3_3078	3
lcl|NC_073249.2_cds_XP_003817295.4_3124	2
lcl|NC_073249.2_cds_XP_008968639.3_3125	2
lcl|NC_073249.2_cds_XP_008968658.1_3148	2
lcl|NC_073249.2_cds_XP_034791105.1_3159	2
lcl|NC_073249.2_cds_XP_063461480.1_3184	2
lcl|NC_073249.2_cds_XP_008968702.1_3231	2
lcl|NC_073249.2_cds_XP_063461605.1_3265	2
lcl|NC_073249.2_cds_XP_003817358.3_3282	2
lcl|NC_073249.2_cds_XP_034790278.1_3327	2
lcl|NC_073249.2_cds_XP_003809240.1_3398	2
lcl|NC_073249.2_cds_XP_008959630.2_3403	2
lcl|NC_073249.2_cds_XP_008949290.4_3434	2
lcl|NC_073249.2_cds_XP_063461918.1_3438	2
lcl|NC_073249.2_cds_XP_034816394.3_3490	2
lcl|NC_073249.2_cds_XP_054970089.2_3551	1
lcl|NC_073249.2_cds_XP_057158598.2_3573	2
lcl|NC_073249.2_cds_XP_034786027.1_3592	1
lcl|NC_073249.2_cds_XP_054970224.1_3597	2
lcl|NC_073249.2_cds_XP_054970248.1_3609	2
lcl|NC_073249.2_cds_XP_008971779.3_3627	3
lcl|NC_073249.2_cds_XP_034785752.1_3651	2
lcl|NC_073249.2_cds_XP_034785699.2_3656	2
lcl|NC_073249.2_cds_XP_003806329.4_3660	1
lcl|NC_073249.2_cds_XP_008950231.3_3662	2
lcl|NC_073249.2_cds_XP_063455411.1_3676	2
lcl|NC_073249.2_cds_XP_034785664.3_3682	2
lcl|NC_073249.2_cds_XP_054958508.1_3709	2
lcl|NC_073249.2_cds_XP_054958518.2_3713	3
lcl|NC_073249.2_cds_XP_063462355.1_3714	3
lcl|NC_073249.2_cds_XP_063462357.1_3715	3
lcl|NC_073249.2_cds_XP_054967550.1_3717	1
lcl|NC_073249.2_cds_XP_008961297.1_3734	2
lcl|NC_073249.2_cds_XP_003810735.2_3783	1
lcl|NC_073249.2_cds_XP_034789166.1_3854	2
lcl|NC_073249.2_cds_XP_003810695.3_3867	1
lcl|NC_073249.2_cds_XP_063462537.1_3894	3
lcl|NC_073249.2_cds_XP_034788905.1_3898	2
lcl|NC_073249.2_cds_XP_034788669.3_3961	2
lcl|NC_073249.2_cds_XP_034788605.1_3965	3
lcl|NC_073249.2_cds_XP_034788552.1_3980	2
lcl|NC_073249.2_cds_XP_063462708.1_4016	3
lcl|NC_073249.2_cds_XP_034788284.1_4034	3
lcl|NC_073249.2_cds_XP_034788095.3_4086	2
lcl|NC_073249.2_cds_XP_003808512.4_4150	1
lcl|NC_073249.2_cds_XP_003808505.3_4169	2
lcl|NC_073249.2_cds_XP_054971855.1_4211	3
lcl|NC_073249.2_cds_XP_034787349.3_4213	3
lcl|NC_073249.2_cds_XP_003808484.4_4215	1
lcl|NC_073249.2_cds_XP_034787192.3_4248	3
lcl|NC_073249.2_cds_XP_063462935.1_4268	3
lcl|NC_073249.2_cds_XP_034786944.3_4293	1
lcl|NC_073249.2_cds_XP_054972133.2_4297	1
lcl|NC_073249.2_cds_XP_034786901.1_4299	3
lcl|NC_073249.2_cds_XP_054972188.1_4319	1
lcl|NC_073249.2_cds_XP_034786714.1_4324	1
lcl|NC_073249.2_cds_XP_034786625.1_4348	3
lcl|NC_073249.2_cds_XP_003808433.3_4378	1
lcl|NC_073249.2_cds_XP_003805350.4_4399	3
lcl|NC_073249.2_cds_XP_003805349.4_4401	3
lcl|NC_073249.2_cds_XP_003805348.4_4402	3
lcl|NC_073249.2_cds_XP_054972566.2_4419	3
lcl|NC_073249.2_cds_XP_063456096.1_4436	1
lcl|NC_073249.2_cds_XP_003805338.3_4438	3
lcl|NC_073249.2_cds_XP_034789782.2_4490	2
lcl|NC_073249.2_cds_XP_054972789.1_4520	3
lcl|NC_073249.2_cds_XP_054973074.1_4586	1
lcl|NC_073249.2_cds_XP_054973077.1_4594	2
lcl|NC_073249.2_cds_XP_054973114.1_4618	1
lcl|NC_073249.2_cds_XP_003830632.5_4650	3
lcl|NC_073249.2_cds_XP_054973275.1_4653	1
lcl|NC_073249.2_cds_XP_034823529.3_4655	3
lcl|NC_073249.2_cds_XP_003830661.2_4691	3
lcl|NC_073249.2_cds_XP_034823034.3_4718	3
lcl|NC_073249.2_cds_XP_003807000.3_4748	1
lcl|NC_073249.2_cds_XP_054973600.1_4787	1
lcl|NC_073249.2_cds_XP_054973681.1_4800	3
lcl|NC_073249.2_cds_XP_008957195.2_4812	3
lcl|NC_073249.2_cds_XP_034822556.3_4821	3
lcl|NC_073249.2_cds_XP_003806981.2_4826	3
lcl|NC_073249.2_cds_XP_008957191.5_4841	3
lcl|NC_073249.2_cds_XP_054947818.1_4858	1
lcl|NC_073249.2_cds_XP_003809206.4_4874	3
lcl|NC_073249.2_cds_XP_054947880.2_4875	3
lcl|NC_073249.2_cds_XP_034822236.3_4880	1
lcl|NC_073249.2_cds_XP_008966101.2_4958	2
lcl|NC_073249.2_cds_XP_054948177.2_4962	2
lcl|NC_073249.2_cds_XP_063457101.1_5003	2
lcl|NC_073249.2_cds_XP_034821360.1_5082	3
lcl|NC_073249.2_cds_XP_008966154.4_5141	1
lcl|NC_073249.2_cds_XP_008966162.4_5165	2
lcl|NC_073249.2_cds_XP_008966164.2_5167	2
lcl|NC_073249.2_cds_XP_034821079.1_5179	2
lcl|NC_073249.2_cds_XP_003829605.4_5187	2
lcl|NC_073249.2_cds_XP_034820985.1_5202	2
lcl|NC_073249.2_cds_XP_054949225.2_5279	1
lcl|NC_073249.2_cds_XP_008963475.4_5408	2
lcl|NC_073249.2_cds_XP_008963503.2_5490	1
lcl|NC_073249.2_cds_XP_034819535.1_5496	2
lcl|NC_073249.2_cds_XP_008963515.1_5503	2
lcl|NC_073249.2_cds_XP_024784653.4_5567	3
lcl|NC_073249.2_cds_XP_003812873.1_5625	2
lcl|NC_073249.2_cds_XP_003812879.1_5644	2
lcl|NC_073249.2_cds_XP_054950252.2_5666	2
lcl|NC_073249.2_cds_XP_003812886.4_5673	2
lcl|NC_073249.2_cds_XP_003812898.1_5685	2
lcl|NC_073249.2_cds_XP_054950358.2_5706	2
lcl|NC_073249.2_cds_XP_034818589.3_5739	3
lcl|NC_073249.2_cds_XP_008966685.4_5762	3
lcl|NC_073249.2_cds_XP_003815470.3_5867	1
lcl|NC_073249.2_cds_XP_054951003.2_5953	2
lcl|NC_073249.2_cds_XP_034817486.1_5975	2
lcl|NC_073249.2_cds_XP_063457515.1_5998	1
lcl|NC_073249.2_cds_XP_008966728.2_6035	3
lcl|NC_073249.2_cds_XP_003812645.1_6037	3
lcl|NC_073249.2_cds_XP_034817214.1_6059	2
lcl|NC_073249.2_cds_XP_034817200.1_6084	3
lcl|NC_073249.2_cds_XP_034817166.2_6086	3
lcl|NC_073249.2_cds_XP_063464930.1_6095	2
lcl|NC_073249.2_cds_XP_008963291.1_6101	2
lcl|NC_073249.2_cds_XP_054951443.1_6105	2
lcl|NC_073249.2_cds_XP_014199978.1_6108	2
lcl|NC_073249.2_cds_XP_008963278.4_6118	3
lcl|NC_073249.2_cds_XP_034816936.1_6127	2
lcl|NC_073249.2_cds_XP_054951542.2_6141	3
lcl|NC_073249.2_cds_XP_063464957.1_6147	1
lcl|NC_073249.2_cds_XP_034816767.1_6159	2
lcl|NC_073249.2_cds_XP_034816626.3_6173	3
lcl|NC_073249.2_cds_XP_063449089.1_6185	3
lcl|NC_073249.2_cds_XP_034816555.3_6188	2
lcl|NC_073249.2_cds_XP_034816284.3_6256	2
lcl|NC_073249.2_cds_XP_054959201.1_6344	3
lcl|NC_073249.2_cds_XP_008951725.4_6353	2
lcl|NC_073249.2_cds_XP_003828178.2_6369	2
lcl|NC_073249.2_cds_XP_034815676.1_6409	2
lcl|NC_073249.2_cds_XP_034815590.3_6461	2
lcl|NC_073249.2_cds_XP_034815460.3_6500	2
lcl|NC_073249.2_cds_XP_034815126.1_6584	2
lcl|NC_073249.2_cds_XP_003809464.3_6602	2
lcl|NC_073249.2_cds_XP_008959906.3_6643	2
lcl|NC_073249.2_cds_XP_034814815.3_6685	2
lcl|NC_073249.2_cds_XP_054952370.1_6801	3
lcl|NC_073249.2_cds_XP_003810813.4_6836	3
lcl|NC_073249.2_cds_XP_008961362.1_6867	3
lcl|NC_073249.2_cds_XP_034813760.3_6889	3
lcl|NC_073249.2_cds_XP_008964822.4_6901	1
lcl|NC_073249.2_cds_XP_034813740.1_6907	1
lcl|NC_073249.2_cds_XP_034813692.1_6916	3
lcl|NC_073249.2_cds_XP_003814013.3_6917	2
lcl|NC_073249.2_cds_XP_054952809.2_6939	2
lcl|NC_073249.2_cds_XP_003814001.2_6943	1
lcl|NC_073249.2_cds_XP_057155609.2_6946	3
lcl|NC_073249.2_cds_XP_008965286.4_6993	1
lcl|NC_073249.2_cds_XP_003814448.1_7057	1
lcl|NC_073249.2_cds_XP_054953249.1_7076	3
lcl|NC_073249.2_cds_XP_003814479.4_7128	2
lcl|NC_073249.2_cds_XP_034812728.3_7139	2
lcl|NC_073249.2_cds_XP_003814485.3_7155	3
lcl|NC_073249.2_cds_XP_034812559.1_7171	2
lcl|NC_073249.2_cds_XP_034812407.1_7190	3
lcl|NC_073249.2_cds_XP_063450578.1_7210	1
lcl|NC_073249.2_cds_XP_024782086.4_7237	2
lcl|NC_073249.2_cds_XP_054953720.2_7241	2
lcl|NC_073249.2_cds_XP_034812025.3_7260	2
lcl|NC_073249.2_cds_XP_034811916.1_7305	3
lcl|NC_073249.2_cds_XP_063450711.1_7306	1
lcl|NC_073249.2_cds_XP_054953930.1_7321	3
lcl|NC_073249.2_cds_XP_014198191.2_7342	1
lcl|NC_073249.2_cds_XP_034811624.3_7345	1
lcl|NC_073249.2_cds_XP_034811520.3_7472	2
lcl|NC_073249.2_cds_XP_003822115.4_7496	3
lcl|NC_073249.2_cds_XP_063458000.1_7501	3
lcl|NC_073249.2_cds_XP_003822129.2_7527	1
lcl|NC_073249.2_cds_XP_003822131.1_7530	2
lcl|NC_073249.2_cds_XP_008973863.3_7533	3
lcl|NC_073249.2_cds_XP_034811083.3_7543	1
lcl|NC_073249.2_cds_XP_063450846.1_7567	2
lcl|NC_073249.2_cds_XP_008973883.3_7577	1
lcl|NC_073249.2_cds_XP_008973985.1_7596	1
lcl|NC_073249.2_cds_XP_034810781.3_7606	1
lcl|NC_073249.2_cds_XP_034810601.2_7633	2
lcl|NC_073249.2_cds_XP_063451026.1_7693	1
lcl|NC_073249.2_cds_XP_034810337.1_7700	3
lcl|NC_073249.2_cds_XP_003822192.4_7736	3
lcl|NC_073249.2_cds_XP_063458060.1_7740	1
lcl|NC_073249.2_cds_XP_034810112.1_7753	1
lcl|NC_073249.2_cds_XP_034809877.3_7773	1
lcl|NC_073249.2_cds_XP_003822208.4_7785	1
lcl|NC_073249.2_cds_XP_063458269.1_7817	3
lcl|NC_073249.2_cds_XP_063458324.1_7837	2
lcl|NC_073249.2_cds_XP_063458339.1_7846	1
lcl|NC_073249.2_cds_XP_003805439.6_7849	1
lcl|NC_073249.2_cds_XP_054955022.2_7850	3
lcl|NC_073249.2_cds_XP_034809428.1_7875	3
lcl|NC_073249.2_cds_XP_054955198.2_7913	3
lcl|NC_073249.2_cds_XP_063451126.1_7985	1
lcl|NC_073249.2_cds_XP_003809536.4_8026	1
lcl|NC_073249.2_cds_XP_063451249.1_8031	1
lcl|NC_073249.2_cds_XP_054955802.2_8096	1
lcl|NC_073249.2_cds_XP_063451279.1_8126	1
lcl|NC_085926.1_cds_XP_008954882.2_8167	3
lcl|NC_085926.1_cds_XP_003831282.3_8188	3
lcl|NC_085926.1_cds_XP_034811566.1_8194	3
lcl|NC_085926.1_cds_XP_054965452.1_8227	3
lcl|NC_085926.1_cds_XP_034811577.1_8233	1
lcl|NC_085926.1_cds_XP_008965078.1_8248	3
lcl|NC_085926.1_cds_XP_054966874.1_8282	2
lcl|NC_085926.1_cds_XP_008965117.1_8314	2
lcl|NC_085926.1_cds_XP_063458200.1_8345	2
lcl|NC_085926.1_cds_XP_003808959.1_8425	1
lcl|NC_085926.1_cds_XP_054966914.1_8431	2
lcl|NC_085926.1_cds_XP_034811662.1_8471	1
lcl|NC_085926.1_cds_XP_003826295.1_8566	2
lcl|NC_085926.1_cds_XP_034811744.1_8575	1
lcl|NC_085926.1_cds_XP_034811754.2_8587	3
lcl|NC_085926.1_cds_XP_003826286.3_8592	2
lcl|NC_085926.1_cds_XP_003826278.2_8600	2
lcl|NC_085926.1_cds_XP_034811764.2_8610	2
lcl|NC_085926.1_cds_XP_054965495.1_8618	3
lcl|NC_085926.1_cds_XP_008949937.1_8623	3
lcl|NC_085926.1_cds_XP_008949915.1_8682	2
lcl|NC_085926.1_cds_XP_034811823.2_8708	1
lcl|NC_085926.1_cds_XP_034811840.1_8752	3
lcl|NC_085926.1_cds_XP_003826229.1_8757	3
lcl|NC_085926.1_cds_XP_054965432.1_8773	3
lcl|NC_085926.1_cds_XP_034811877.1_8829	2
lcl|NC_085926.1_cds_XP_034811892.2_8858	3
lcl|NC_085926.1_cds_XP_034811898.2_8874	2
lcl|NC_085926.1_cds_XP_034811921.1_8937	1
lcl|NC_085926.1_cds_XP_034811938.2_8984	2
lcl|NC_085926.1_cds_XP_034811985.1_9008	2
lcl|NC_085926.1_cds_XP_034811987.1_9010	3
lcl|NC_085926.1_cds_XP_034811992.2_9058	3
lcl|NC_085926.1_cds_XP_008949810.2_9100	2
lcl|NC_085926.1_cds_XP_034812009.1_9109	3
lcl|NC_085926.1_cds_XP_034812018.1_9114	2
lcl|NC_085926.1_cds_XP_003826151.3_9128	2
lcl|NC_085926.1_cds_XP_057157671.1_9161	3
lcl|NC_085926.1_cds_XP_008949790.2_9165	3
lcl|NC_085926.1_cds_XP_054965648.1_9166	3
lcl|NC_085926.1_cds_XP_008949785.4_9179	3
lcl|NC_085926.1_cds_XP_008949778.3_9199	2
lcl|NC_085926.1_cds_XP_063458814.1_9216	3
lcl|NC_085926.1_cds_XP_034812071.1_9256	3
lcl|NC_085926.1_cds_XP_034812076.1_9262	2
lcl|NC_085926.1_cds_XP_034812082.2_9310	1
lcl|NC_085926.1_cds_XP_003809354.2_9371	1
lcl|NC_085926.1_cds_XP_054965733.1_9379	3
lcl|NC_085926.1_cds_XP_008959781.2_9401	3
lcl|NC_085926.1_cds_XP_003809363.1_9414	3
lcl|NC_085926.1_cds_XP_063458839.1_9440	3
lcl|NC_085926.1_cds_XP_003818522.3_9459	3
lcl|NC_085926.1_cds_XP_057157697.1_9474	2
lcl|NC_085926.1_cds_XP_034812189.2_9509	2
lcl|NC_085926.1_cds_XP_003818492.3_9514	2
lcl|NC_085926.1_cds_XP_063458366.1_9532	2
lcl|NC_085926.1_cds_XP_034812212.1_9540	3
lcl|NC_085926.1_cds_XP_008970013.2_9560	2
lcl|NC_085926.1_cds_XP_054965794.1_9570	2
lcl|NC_085926.1_cds_XP_063458405.1_9609	3
lcl|NC_085926.1_cds_XP_003818456.2_9643	2
lcl|NC_085926.1_cds_XP_008969960.2_9671	2
lcl|NC_085926.1_cds_XP_003818440.5_9680	2
lcl|NC_085926.1_cds_XP_008969938.2_9717	2
lcl|NC_085926.1_cds_XP_034812298.1_9776	2
lcl|NC_085926.1_cds_XP_034812297.2_9792	2
lcl|NC_085926.1_cds_XP_003818419.1_9821	2
lcl|NC_085926.1_cds_XP_034812353.2_9837	2
lcl|NC_085926.1_cds_XP_034811518.2_9852	2
lcl|NC_085926.1_cds_XP_063458435.1_9853	2
lcl|NC_085926.1_cds_XP_034812359.1_9861	2
lcl|NC_085926.1_cds_XP_063458436.1_9868	2
lcl|NC_085926.1_cds_XP_003818896.3_9872	2
lcl|NC_085926.1_cds_XP_034811519.2_9879	2
lcl|NC_085926.1_cds_XP_063458439.1_9885	2
lcl|NC_085926.1_cds_XP_034812386.1_9891	2
lcl|NC_085926.1_cds_XP_054965958.1_9959	1
lcl|NC_085926.1_cds_XP_034812455.3_9981	2
lcl|NC_085926.1_cds_XP_034812461.1_9991	1
lcl|NC_085926.1_cds_XP_063458454.1_9992	2
lcl|NC_085926.1_cds_XP_003818840.3_9994	2
lcl|NC_085926.1_cds_XP_034812467.1_10004	2
lcl|NC_085926.1_cds_XP_003818812.3_10052	1
lcl|NC_085926.1_cds_XP_054965985.1_10065	2
lcl|NC_085926.1_cds_XP_034812498.2_10087	1
lcl|NC_085926.1_cds_XP_008970369.1_10090	2
lcl|NC_085926.1_cds_XP_034812502.1_10133	2
lcl|NC_085926.1_cds_XP_054966015.1_10173	2
lcl|NC_085926.1_cds_XP_003818792.1_10176	3
lcl|NC_085926.1_cds_XP_008970346.2_10177	3
lcl|NC_085926.1_cds_XP_014199728.3_10187	3
lcl|NC_085926.1_cds_XP_063458519.1_10196	1
lcl|NC_085926.1_cds_XP_034812560.1_10218	3
lcl|NC_085926.1_cds_XP_003818771.6_10239	1
lcl|NC_085926.1_cds_XP_054966931.1_10251	3
lcl|NC_085926.1_cds_XP_008970310.3_10253	3
lcl|NC_085926.1_cds_XP_008970320.2_10274	2
lcl|NC_085926.1_cds_XP_054966949.1_10297	2
lcl|NC_085926.1_cds_XP_008962282.1_10308	1
lcl|NC_085926.1_cds_XP_034812628.1_10351	3
lcl|NC_085926.1_cds_XP_003811655.1_10429	3
lcl|NC_085926.1_cds_XP_054966065.1_10449	1
lcl|NC_085926.1_cds_XP_034812718.2_10459	1
lcl|NC_085926.1_cds_XP_034812726.2_10467	3
lcl|NC_085926.1_cds_XP_003811645.2_10471	3
lcl|NC_085926.1_cds_XP_008962220.3_10497	1
lcl|NC_085926.1_cds_XP_034812740.2_10527	1
lcl|NC_085926.1_cds_XP_008962210.2_10550	1
lcl|NC_085926.1_cds_XP_003811628.3_10558	3
lcl|NC_085926.1_cds_XP_024784128.3_10610	1
lcl|NC_085926.1_cds_XP_054966115.1_10615	1
lcl|NC_085926.1_cds_XP_063458897.1_10625	3
lcl|NC_085926.1_cds_XP_063458898.1_10640	3
lcl|NC_085926.1_cds_XP_054966125.1_10663	3
lcl|NC_085926.1_cds_XP_034812841.1_10697	1
lcl|NC_085926.1_cds_XP_054966142.1_10712	2
lcl|NC_085926.1_cds_XP_034812868.2_10737	3
lcl|NC_085926.1_cds_XP_003821930.3_10760	3
lcl|NC_085926.1_cds_XP_054966176.1_10816	3
lcl|NC_085926.1_cds_XP_034812910.2_10844	3
lcl|NC_085926.1_cds_XP_003821968.2_10845	3
lcl|NC_085926.1_cds_XP_008973660.2_10853	2
lcl|NC_085926.1_cds_XP_003821976.1_10866	2
lcl|NC_085926.1_cds_XP_003821979.1_10870	1
lcl|NC_085926.1_cds_XP_024784014.1_10894	1
lcl|NC_085926.1_cds_XP_008976999.3_10918	1
lcl|NC_085926.1_cds_XP_034812947.2_10958	2
lcl|NC_085926.1_cds_XP_063458958.1_10959	1
lcl|NC_085926.1_cds_XP_034812948.1_10961	1
lcl|NC_085926.1_cds_XP_054966237.1_10971	3
lcl|NC_085926.1_cds_XP_063458960.1_10990	2
lcl|NC_085926.1_cds_XP_008977040.1_11003	3
lcl|NC_085926.1_cds_XP_034812972.2_11019	2
lcl|NC_085926.1_cds_XP_054966253.1_11038	3
lcl|NC_085926.1_cds_XP_003825153.4_11049	2
lcl|NC_085926.1_cds_XP_063458578.1_11051	2
lcl|NC_085926.1_cds_XP_034812997.2_11060	1
lcl|NC_085926.1_cds_XP_003825158.2_11066	2
