chr	start	end	frame	filler	frame	chr	exon_1_start	exon_1_end	exon_2_start	exon_2_end	gene	transcript	exon_strand	exon_frame	intron_start	intron_end	intron_length	merged_txs
NC_071985.2	189874177	189874612	-2	1	-	NC_071985.2	189874436	189874515	189874226	189874351	SZT2	XM_002810935.6	-	2	189874351	189874436	85	5
NC_071985.2	189876035	189876551	-1	1	-	NC_071985.2	189876322	189876488	189876101	189876198	SZT2	XM_002810935.6	-	1	189876198	189876322	124	5
NC_071985.2	189878193	189879078	-3	1	-	NC_071985.2	189878881	189878999	189878608	189878772	SZT2	XM_002810935.6	-	3	189878772	189878881	109	5
NC_071985.2	189878193	189879078	-3	1	-	NC_071985.2	189878608	189878772	189878259	189878343	SZT2	XM_002810935.6	-	3	189878343	189878608	265	5
NC_071985.2	189970925	189971549	-1	1	-	NC_071985.2	189971336	189971520	189971031	189971173	MPL	XM_063712869.1	-	1	189971173	189971336	163	1
NC_071985.2	1909850	1910459	3	1	+	NC_071985.2	1909951	1910063	1910217	1910313	LINC02897	XM_054549871.2	+	3	1910063	1910217	154	1
NC_071985.2	1910050	1910374	2	1	+	NC_071985.2	1910066	1910215	1910316	1910374	LINC02897	XM_054549871.2	+	2	1910215	1910316	101	1
NC_071985.2	193197553	193197775	2	1	+	NC_071985.2	193197584	193197619	193197704	193197766	COL9A2	XM_024251520.3	+	2	193197619	193197704	85	1
NC_071985.2	193200221	193200596	3	1	+	NC_071985.2	193200276	193200329	193200444	193200491	COL9A2	XM_024251520.3	+	3	193200329	193200444	115	1
NC_071985.2	193207439	193207835	3	1	+	NC_071985.2	193207467	193207520	193207605	193207676	COL9A2	XM_024251520.3	+	3	193207520	193207605	85	1
NC_071985.2	195808329	195808776	1	1	+	NC_071985.2	195808356	195808417	195808562	195808687	EPHA10	XM_024232733.3	+	1	195808417	195808562	145	2
NC_071985.2	197223243	197224614	-3	1	-	NC_071985.2	197224504	197224598	197223245	197224365	SH3D21	XM_009252503.3	-	3	197224365	197224504	139	4
NC_071985.2	197363400	197364345	-3	1	-	NC_071985.2	197363900	197363990	197363589	197363782	MAP7D1	XM_024248528.3	-	3	197363782	197363900	118	14
NC_071985.2	197363400	197364345	-3	1	-	NC_071985.2	197363589	197363782	197363401	197363408	MAP7D1	XM_024248528.3	-	3	197363408	197363589	181	14
NC_071985.2	200676331	200676952	-2	1	-	NC_071985.2	200676562	200676667	200676332	200676426	HPCA	XM_024235966.2	-	2	200676426	200676562	136	2
NC_071985.2	200796099	200798931	-3	1	-	NC_071985.2	200798790	200798903	200796135	200798696	NHSL3	XM_003775747.5	-	3	200798696	200798790	94	3
NC_071985.2	201779229	201779820	1	1	+	NC_071985.2	201779395	201779520	201779674	201779728	SPOCD1	XM_024239068.3	+	1	201779520	201779674	154	9
NC_071985.2	201837778	201838390	2	1	+	NC_071985.2	201837867	201837968	201838113	201838219	ADGRB2	NM_001132773.1	+	2	201837968	201838113	145	15
NC_071985.2	201839028	201839739	1	1	+	NC_071985.2	201839053	201839247	201839416	201839484	ADGRB2	NM_001132773.1	+	1	201839247	201839416	169	14
NC_071985.2	201839028	201839739	1	1	+	NC_071985.2	201839416	201839484	201839560	201839668	ADGRB2	NM_001132773.1	+	1	201839484	201839560	76	14
NC_071985.2	201839028	201839739	1	1	+	NC_071985.2	201839053	201839247	201839560	201839668	ADGRB2	XM_054530975.2	+	1	201839247	201839560	313	1
NC_071985.2	201994725	201995247	-3	1	-	NC_071985.2	201995072	201995222	201994768	201994957	TINAGL1	XM_002811138.5	-	3	201994957	201995072	115	3
NC_071985.2	202070846	202071494	-1	1	-	NC_071985.2	202071125	202071272	202070889	202070989	LOC100446400	XM_024244623.1	-	1	202070989	202071125	136	1
NC_071985.2	205388557	205389115	-2	1	-	NC_071985.2	205388906	205389088	205388579	205388791	SESN2	NM_001131848.1	-	2	205388791	205388906	115	1
NC_071985.2	205422978	205423281	-3	1	-	NC_071985.2	205423162	205423248	205422980	205423071	ATP5IF1	NM_001131154.2	-	3	205423071	205423162	91	1
NC_071985.2	205703237	205703750	-1	1	-	NC_071985.2	205703570	205703750	205703352	205703485	SMPDL3B	XM_024249401.2	-	1	205703485	205703570	85	2
NC_071985.2	206302908	206303370	1	1	+	NC_071985.2	206302939	206303131	206303231	206303369	MAP3K6	XM_002811204.5	+	1	206303131	206303231	100	6
NC_071985.2	207469389	207469848	-3	1	-	NC_071985.2	207469696	207469757	207469503	207469602	CNKSR1	XM_054539763.2	-	3	207469602	207469696	94	2
NC_071985.2	207474037	207474559	-2	1	-	NC_071985.2	207474344	207474445	207474039	207474109	CNKSR1	XM_054539763.2	-	2	207474109	207474344	235	2
NC_071985.2	207491968	207492421	2	1	+	NC_071985.2	207492041	207492124	207492236	207492333	C1H1orf232	XM_024245124.2	+	2	207492124	207492236	112	1
NC_071985.2	207846485	207846941	-1	1	-	NC_071985.2	207846825	207846937	207846639	207846740	SELENON	NM_001199977.1	-	1	207846740	207846825	85	1
NC_071985.2	210136521	210137238	1	1	+	NC_071985.2	210136538	210136605	210136699	210136806	ASAP3	XM_024234130.3	+	1	210136605	210136699	94	2
NC_071985.2	210136521	210137238	1	1	+	NC_071985.2	210136699	210136806	210136951	210137146	ASAP3	XM_024234130.3	+	1	210136806	210136951	145	2
NC_071985.2	210990207	210990735	-3	1	-	NC_071985.2	210990511	210990660	210990233	210990423	EPHA8	XM_024231003.2	-	3	210990423	210990511	88	1
NC_071985.2	210993465	210994239	-3	1	-	NC_071985.2	210993879	210994064	210993532	210993593	EPHA8	XM_024231003.2	-	3	210993593	210993879	286	1
NC_071985.2	211567887	211569588	1	1	+	NC_071985.2	211568083	211568466	211568653	211569074	LOC134759804	XM_063714477.1	+	1	211568466	211568653	187	1
NC_071985.2	211750123	211750741	2	1	+	NC_071985.2	211750247	211750382	211750500	211750651	HSPG2	XM_024250648.3	+	2	211750382	211750500	118	7
NC_071985.2	211766852	211767458	3	1	+	NC_071985.2	211766970	211767069	211767208	211767317	HSPG2	XM_024250648.3	+	3	211767069	211767208	139	7
NC_071985.2	211769922	211770609	1	1	+	NC_071985.2	211770106	211770277	211770380	211770502	HSPG2	XM_024250648.3	+	1	211770277	211770380	103	7
NC_071985.2	211773697	211774228	2	1	+	NC_071985.2	211773919	211773997	211774157	211774227	HSPG2	XM_024250648.3	+	2	211773997	211774157	160	3
NC_071985.2	211773697	211774228	2	1	+	NC_071985.2	211773919	211773997	211774121	211774227	HSPG2	XM_054546725.2	+	2	211773997	211774121	124	4
NC_071985.2	21232800	21233406	-3	1	-	NC_071985.2	21233199	21233321	21232845	21233015	OBSCN	XM_054518750.2	-	3	21233015	21233199	184	17
NC_071985.2	21240065	21240704	-1	1	-	NC_071985.2	21240549	21240626	21240067	21240239	OBSCN	XM_054518750.2	-	1	21240239	21240549	310	18
NC_071985.2	21241776	21243021	-3	1	-	NC_071985.2	21242785	21242897	21242403	21242571	OBSCN	XM_054518750.2	-	3	21242571	21242785	214	18
NC_071985.2	21241776	21243021	-3	1	-	NC_071985.2	21242403	21242571	21241796	21241996	OBSCN	XM_054518750.2	-	3	21241996	21242403	407	18
NC_071985.2	21272295	21272943	-3	1	-	NC_071985.2	21272661	21272783	21272404	21272543	OBSCN	XM_054518750.2	-	3	21272543	21272661	118	20
NC_071985.2	212874818	212875361	3	1	+	NC_071985.2	212875021	212875124	212875266	212875360	DDOST	XM_024250887.3	+	3	212875124	212875266	142	1
NC_071985.2	212877809	212878415	3	1	+	NC_071985.2	212877828	212877948	212878072	212878178	DDOST	XM_024250887.3	+	3	212877948	212878072	124	1
NC_071985.2	212877809	212878415	3	1	+	NC_071985.2	212878072	212878178	212878269	212878415	DDOST	XM_024250887.3	+	3	212878178	212878269	91	1
NC_071985.2	21332019	21332652	-3	1	-	NC_071985.2	21332304	21332465	21332112	21332216	OBSCN	XM_054518750.2	-	3	21332216	21332304	88	20
NC_071985.2	21335616	21336363	-3	1	-	NC_071985.2	21336009	21336287	21335622	21335888	OBSCN	XM_054518750.2	-	3	21335888	21336009	121	20
NC_071985.2	214248935	214249535	3	1	+	NC_071985.2	214248982	214249169	214249362	214249466	LOC100939526	XM_024251104.3	+	3	214249169	214249362	193	1
NC_071985.2	214270231	214270828	2	1	+	NC_071985.2	214270275	214270462	214270655	214270759	LOC100456442	XM_024251126.3	+	2	214270462	214270655	193	1
NC_071985.2	214285612	214286254	2	1	+	NC_071985.2	214285701	214285888	214286081	214286185	LOC100456086	XM_002811379.5	+	2	214285888	214286081	193	1
NC_071985.2	214357025	214357490	3	1	+	NC_071985.2	214357056	214357185	214357303	214357442	UBR4	XM_024251135.3	+	3	214357185	214357303	118	16
NC_071985.2	214681875	214682640	1	1	+	NC_071985.2	214681949	214682145	214682311	214682358	ALDH4A1	NM_001132369.2	+	1	214682145	214682311	166	8
NC_071985.2	21509508	21509928	1	1	+	NC_071985.2	21509532	21509577	21509838	21509910	C1H1orf35	XM_002809353.6	+	1	21509577	21509838	261	1
NC_071985.2	216580215	216580605	1	1	+	NC_071985.2	216580240	216580374	216580462	216580528	ATP13A2	XM_024251445.3	+	1	216580374	216580462	88	12
NC_071985.2	216580215	216580605	1	1	+	NC_071985.2	216580267	216580374	216580462	216580528	ATP13A2	XM_054556183.2	+	1	216580374	216580462	88	3
NC_071985.2	216584124	216584880	1	1	+	NC_071985.2	216584246	216584356	216584578	216584766	ATP13A2	XM_024251445.3	+	1	216584356	216584578	222	15
NC_071985.2	216590418	216591267	1	1	+	NC_071985.2	216590426	216590586	216590710	216590826	ATP13A2	XM_024251445.3	+	1	216590586	216590710	124	11
NC_071985.2	217786008	217786989	1	1	+	NC_071985.2	217786102	217786244	217786341	217786641	ZBTB17	XM_002811433.4	+	1	217786244	217786341	97	7
NC_071985.2	217788482	217788980	3	1	+	NC_071985.2	217788511	217788621	217788700	217788980	ZBTB17	XM_002811433.4	+	3	217788621	217788700	79	4
NC_071985.2	217788482	217788980	3	1	+	NC_071985.2	217788532	217788621	217788700	217788980	ZBTB17	XM_002811434.4	+	3	217788621	217788700	79	3
NC_071985.2	217999121	218000135	-1	1	-	NC_071985.2	217999773	217999932	217999266	217999445	PLEKHM2	XM_024252866.2	-	1	217999445	217999773	328	3
NC_071985.2	222536164	222536695	2	1	+	NC_071985.2	222536366	222536405	222536496	222536614	MAD2L2	XM_003775811.5	+	2	222536405	222536496	91	5
NC_071985.2	223775394	223775781	-3	1	-	NC_071985.2	223775746	223775757	223775524	223775657	CORT	XM_024253270.3	-	3	223775657	223775746	89	1
NC_071985.2	224510214	224510928	-3	1	-	NC_071985.2	224510731	224510910	224510242	224510391	PIK3CD	XM_024253286.3	-	3	224510391	224510731	340	9
NC_071985.2	224510214	224510928	-3	1	-	NC_071985.2	224510731	224510910	224510242	224510304	PIK3CD	XM_024253318.3	-	3	224510304	224510731	427	2
NC_071985.2	225201153	225201723	1	1	+	NC_071985.2	225201154	225201255	225201577	225201652	SLC2A5	NM_001131310.1	+	1	225201255	225201577	322	10
NC_071985.2	227636805	227637378	-3	1	-	NC_071985.2	227637138	227637274	227636889	227637053	ZBTB48	NM_001133152.1	-	3	227637053	227637138	85	1
NC_071985.2	227637439	227638324	-2	1	-	NC_071985.2	227638073	227638159	227637699	227637853	ZBTB48	NM_001133152.1	-	2	227637853	227638073	220	1
NC_071985.2	227752520	227753162	3	1	+	NC_071985.2	227752731	227752781	227752902	227753051	PLEKHG5	XM_024253883.3	+	3	227752781	227752902	121	9
NC_071985.2	227753282	227754119	3	1	+	NC_071985.2	227753442	227753552	227753658	227753807	PLEKHG5	XM_024253883.3	+	3	227753552	227753658	106	9
NC_071985.2	227784142	227784856	-2	1	-	NC_071985.2	227784632	227784818	227784284	227784466	ESPN	XM_054542002.2	-	2	227784466	227784632	166	3
NC_071985.2	228096856	228097564	2	1	+	NC_071985.2	228096917	228097148	228097377	228097487	CHD5	XM_024254075.2	+	2	228097148	228097377	229	6
NC_071985.2	228104215	228104920	2	1	+	NC_071985.2	228104313	228104392	228104648	228104780	CHD5	XM_024254075.2	+	2	228104392	228104648	256	4
NC_071985.2	228116567	228119846	3	1	+	NC_071985.2	228119359	228119522	228119631	228119745	CHD5	XM_024254075.2	+	3	228119522	228119631	109	3
NC_071985.2	230482532	230483435	-1	1	-	NC_071985.2	230482928	230483285	230482566	230482696	CCDC27	XM_002811580.4	-	1	230482696	230482928	232	5
NC_071985.2	231532500	231533457	1	1	+	NC_071985.2	231532534	231532632	231533242	231533325	MMEL1	XM_024232005.3	+	1	231532632	231533242	610	14
NC_071985.2	231629694	231630543	-3	1	-	NC_071985.2	231630232	231630356	231630051	231630135	PLCH2	XM_054557324.2	-	3	231630135	231630232	97	6
NC_071985.2	232088234	232088984	-1	1	-	NC_071985.2	232088751	232088962	232088235	232088531	GABRD	XM_024252003.2	-	1	232088531	232088751	220	1
NC_071985.2	232191503	232192007	3	1	+	NC_071985.2	232191515	232191649	232191782	232191891	CFAP74	XM_024231068.2	+	3	232191649	232191782	133	8
NC_071985.2	232191903	232192476	1	1	+	NC_071985.2	232192031	232192086	232192195	232192314	CFAP74	XM_024231068.2	+	1	232192086	232192195	109	8
NC_071985.2	232196559	232196991	1	1	+	NC_071985.2	232196620	232196754	232196959	232196991	CFAP74	XM_054557502.1	+	1	232196754	232196959	205	2
NC_071985.2	232200754	232201537	2	1	+	NC_071985.2	232200991	232201169	232201260	232201537	TMEM52	XM_024230832.3	+	2	232201169	232201260	91	2
NC_071985.2	232402506	232403007	1	1	+	NC_071985.2	232402522	232402663	232402874	232403006	LOC100434526	XM_054557677.2	+	1	232402663	232402874	211	1
NC_071985.2	232492552	232493017	-2	1	-	NC_071985.2	232492861	232493000	232492621	232492788	LOC100448626	XM_009235891.4	-	2	232492788	232492861	73	4
NC_071985.2	232500123	232500672	-3	1	-	NC_071985.2	232500436	232500578	232500211	232500318	MIB2	XM_054557564.2	-	3	232500318	232500436	118	11
NC_071985.2	232500123	232500672	-3	1	-	NC_071985.2	232500436	232500578	232500211	232500306	MIB2	XM_054557567.2	-	3	232500306	232500436	130	6
NC_071985.2	232590204	232590705	1	1	+	NC_071985.2	232590270	232590478	232590560	232590705	TMEM240	XM_024232544.3	+	1	232590478	232590560	82	1
NC_071985.2	232713643	232714129	2	1	+	NC_071985.2	232713725	232713811	232713923	232714033	MRPL20	XM_024255417.3	+	2	232713811	232713923	112	2
NC_071985.2	232745757	232746912	1	1	+	NC_071985.2	232746121	232746172	232746428	232746873	AURKAIP1	XM_003775835.5	+	1	232746172	232746428	256	5
NC_071985.2	232778407	232779100	2	1	+	NC_071985.2	232778498	232778567	232778637	232778776	DVL1	XM_024255545.3	+	2	232778567	232778637	70	3
NC_071985.2	232806799	232807534	2	1	+	NC_071985.2	232806963	232807024	232807315	232807444	INTS11	NM_001131288.1	+	2	232807024	232807315	291	2
NC_071985.2	232815964	232816459	2	1	+	NC_071985.2	232816055	232816153	232816340	232816393	ACAP3	XM_024255577.3	+	2	232816153	232816340	187	2
NC_071985.2	232815964	232816459	2	1	+	NC_071985.2	232816034	232816153	232816340	232816393	ACAP3	XM_054558086.2	+	2	232816153	232816340	187	2
NC_071985.2	232827186	232828164	-3	1	-	NC_071985.2	232827605	232827663	232827418	232827493	SCNN1D	XM_024257135.3	-	3	232827493	232827605	112	2
NC_071985.2	232828790	232829252	-1	1	-	NC_071985.2	232829114	232829202	232828875	232829038	SCNN1D	XM_024257135.3	-	1	232829038	232829114	76	2
NC_071985.2	233069749	233070301	-2	1	-	NC_071985.2	233069920	233070112	233069751	233069838	AGRN	XM_054558277.2	-	2	233069838	233069920	82	12
NC_071985.2	233073741	233074395	-3	1	-	NC_071985.2	233074141	233074268	233073909	233074023	AGRN	XM_054558277.2	-	3	233074023	233074141	118	12
NC_071985.2	233074489	233075284	-2	1	-	NC_071985.2	233074861	233075199	233074639	233074776	AGRN	XM_054558277.2	-	2	233074776	233074861	85	12
NC_071985.2	233076066	233076462	-3	1	-	NC_071985.2	233076318	233076434	233076072	233076236	AGRN	XM_054558277.2	-	3	233076236	233076318	82	12
NC_071985.2	233077876	233078395	-2	1	-	NC_071985.2	233078158	233078376	233077882	233078076	AGRN	XM_054558277.2	-	2	233078076	233078158	82	12
NC_071985.2	233123587	233124169	2	1	+	NC_071985.2	233123618	233123705	233123799	233124169	HES4	XM_024257134.3	+	2	233123705	233123799	94	2
NC_071985.2	233142614	233145227	3	1	+	NC_071985.2	233142621	233143640	233143776	233144985	PERM1	XM_063716237.1	+	3	233143640	233143776	136	1
NC_071985.2	233146185	233146617	1	1	+	NC_071985.2	233146199	233146324	233146529	233146617	PERM1	XM_063716237.1	+	1	233146324	233146529	205	1
NC_071985.2	233148445	233149036	-2	1	-	NC_071985.2	233148764	233148982	233148451	233148499	PLEKHN1	XM_024238948.3	-	2	233148499	233148764	265	1
NC_071985.2	233151754	233152450	-2	1	-	NC_071985.2	233152214	233152294	233152057	233152129	PLEKHN1	XM_024238948.3	-	2	233152129	233152214	85	1
NC_071985.2	233169078	233169639	1	1	+	NC_071985.2	233169216	233169294	233169406	233169516	NOC2L	XM_024256213.3	+	1	233169294	233169406	112	4
NC_071985.2	233179997	233181266	-1	1	-	NC_071985.2	233181032	233181147	233180213	233180724	SAMD11	XM_024256237.3	-	1	233180724	233181032	308	10
NC_071985.2	39735834	39736635	-3	1	-	NC_071985.2	39736477	39736617	39736231	39736368	TRAF3IP3	XM_002809506.6	-	3	39736368	39736477	109	3
NC_071985.2	39735834	39736635	-3	1	-	NC_071985.2	39736477	39736599	39736231	39736368	TRAF3IP3	XM_063725435.1	-	3	39736368	39736477	109	1
NC_071985.2	39887283	39887883	1	1	+	NC_071985.2	39887307	39887467	39887582	39887802	LAMB3	XM_054521338.2	+	1	39887467	39887582	115	2
NC_071985.2	41805968	41806532	-1	1	-	NC_071985.2	41806157	41806333	41805970	41806072	CR1	XM_054521558.2	-	1	41806072	41806157	85	1
NC_071985.2	42026819	42027224	-1	1	-	NC_071985.2	42027005	42027193	42026821	42026920	CR2	XM_009238382.3	-	1	42026920	42027005	85	3
NC_071985.2	42447992	42448199	-1	1	-	NC_071985.2	42448095	42448122	42448079	42448085	PFKFB2	NM_001133585.1	-	1	42448085	42448095	10	1
NC_071985.2	42448036	42448327	-2	1	-	NC_071985.2	42448088	42448093	42448037	42448077	PFKFB2	NM_001133585.1	-	2	42448077	42448088	11	1
NC_071985.2	43998927	43999656	-3	1	-	NC_071985.2	43999263	43999360	43998929	43999034	CDK18	NM_001133803.1	-	3	43999034	43999263	229	12
NC_071985.2	44465447	44466011	-1	1	-	NC_071985.2	44465815	44465965	44465537	44465664	CNTN2	NM_001131518.1	-	1	44465664	44465815	151	2
NC_071985.2	46470850	46471543	-2	1	-	NC_071985.2	46471460	46471543	46471061	46471192	PPFIA4	XM_024248512.3	-	2	46471192	46471460	268	6
NC_071985.2	482366	483383	-1	1	-	NC_071985.2	482971	483338	482367	482826	LOC100454916	XM_054560592.1	-	1	482826	482971	145	1
NC_071985.2	48340826	48347126	-1	1	-	NC_071985.2	48347062	48347113	48340862	48340977	IGFN1	XM_054548267.2	-	1	48340977	48347062	6085	1
NC_071985.2	48483036	48483600	1	1	+	NC_071985.2	48483093	48483222	48483499	48483558	CACNA1S	XM_054523477.1	+	1	48483222	48483499	277	1
NC_071985.2	48546384	48546870	1	1	+	NC_071985.2	48546421	48546570	48546673	48546807	KIF21B	XM_024235259.3	+	1	48546570	48546673	103	8
NC_071985.2	5927971	5928775	2	1	+	NC_071985.2	5928123	5928286	5928473	5928766	CEP170	XM_002809240.5	+	2	5928286	5928473	187	17
NC_071985.2	66603871	66604432	-2	1	-	NC_071985.2	66604070	66604228	66603877	66603976	LAMC2	XM_063726245.1	-	2	66603976	66604070	94	2
NC_071985.2	66888689	66889409	3	1	+	NC_071985.2	66888735	66888776	66888868	66889262	SHCBP1L	XM_024238991.3	+	3	66888776	66888868	92	1
NC_071985.2	82280263	82283776	2	1	+	NC_071985.2	82280324	82280682	82282324	82282650	LOC134760803	XM_063720705.1	+	2	82280682	82282324	1642	1
